arm,subset,value,se,n_groups,n_rows
CDS,Missense,0.3389220647299777,0.017341192580630094,580,5800
CDS,Synonymous,0.29904825076110786,0.06086204860965411,46,460
CDS,Splicing,0.4003697103489335,0.027567778762089573,319,3190
CDS,3′ UTR,0.12152403672319247,0.019344406335700656,77,770
CDS,ncRNA,0.10166658420923891,0.006988043698161386,115,1150
CDS,5′ UTR,0.111530408553803,0.008448813609787206,210,2100
CDS,Promoter,0.09453671040389039,0.005244151826237719,205,2050
CDS,Distal,0.11586678120000762,0.0231508929717456,58,580
3′ UTR,Missense,0.10535437816779862,0.00539150716283925,580,5800
3′ UTR,Synonymous,0.1456187658541978,0.03262862331197418,46,460
3′ UTR,Splicing,0.09254438026738249,0.004238136525447415,319,3190
3′ UTR,3′ UTR,0.18517057438088494,0.03540853907785126,77,770
3′ UTR,ncRNA,0.1062579962210563,0.008038584979198689,115,1150
3′ UTR,5′ UTR,0.12090436134828862,0.010186374191850032,210,2100
3′ UTR,Promoter,0.09203800554469391,0.00438429280843792,205,2050
3′ UTR,Distal,0.11630996908639193,0.02597839727033629,58,580
ncRNA exon,Missense,0.1438147290833408,0.009390958471394893,580,5800
ncRNA exon,Synonymous,0.19696472991166325,0.044274263135978945,46,460
ncRNA exon,Splicing,0.163653758478137,0.016191387857233095,319,3190
ncRNA exon,3′ UTR,0.11131998731038653,0.012763395083271829,77,770
ncRNA exon,ncRNA,0.38378013175067066,0.03497200974897518,115,1150
ncRNA exon,5′ UTR,0.10707940525113994,0.007010283376530366,210,2100
ncRNA exon,Promoter,0.10070371154205641,0.008763285871813516,205,2050
ncRNA exon,Distal,0.13764361397292085,0.03323594246397052,58,580
TSS / 5′ UTR,Missense,0.12700672784853498,0.007799968407037526,580,5800
TSS / 5′ UTR,Synonymous,0.16127836958991865,0.03455128351975312,46,460
TSS / 5′ UTR,Splicing,0.15652729039739097,0.014502898762595423,319,3190
TSS / 5′ UTR,3′ UTR,0.12034561859847975,0.015129967447418229,77,770
TSS / 5′ UTR,ncRNA,0.1763831500194129,0.024160783924393733,115,1150
TSS / 5′ UTR,5′ UTR,0.24923867252836504,0.023098863568063472,210,2100
TSS / 5′ UTR,Promoter,0.2600475124181255,0.02671652055106651,205,2050
TSS / 5′ UTR,Distal,0.11771707430025505,0.028114112526563075,58,580
Enhancer A,Missense,0.1009163861778,0.004021895732452996,580,5800
Enhancer A,Synonymous,0.13189949352742414,0.023071221803008437,46,460
Enhancer A,Splicing,0.09264156253916683,0.004933077953653399,319,3190
Enhancer A,3′ UTR,0.10563879003478731,0.010103222965880522,77,770
Enhancer A,ncRNA,0.10966648375487986,0.007739293743901934,115,1150
Enhancer A,5′ UTR,0.11291522497219915,0.009454458037573407,210,2100
Enhancer A,Promoter,0.10010828306957045,0.007695313520616652,205,2050
Enhancer A,Distal,0.11891454986765719,0.01813306268890533,58,580
Background,Missense,0.1389930987895761,0.010471938725530197,580,5800
Background,Synonymous,0.13700256172424502,0.029300169855293275,46,460
Background,Splicing,0.24445971419207146,0.02165812536273857,319,3190
Background,3′ UTR,0.10207063141870143,0.011099714478835152,77,770
Background,ncRNA,0.11318086518859088,0.00897866964414727,115,1150
Background,5′ UTR,0.1087534493616247,0.00875478781608877,210,2100
Background,Promoter,0.09857481613983257,0.0067829454738173945,205,2050
Background,Distal,0.12021799189413862,0.02297361830501037,58,580
