experiment,experiment_title,model,arm,subset,value,se,n_groups,n_rows
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,ncRNA,0.18545375354905388,0.024547509333390494,115,1150
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,5′ UTR,0.27154123185963713,0.029945271177774475,210,2100
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Promoter,0.24042545472007668,0.026561269064575004,205,2050
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-tss-utr5-step-4999,TSS / 5′ UTR,Distal,0.10325713105436446,0.01944438483724982,58,580
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,Missense,0.10253456956590304,0.004165246227094462,580,5800
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,Synonymous,0.15906571773593342,0.03469481919009084,46,460
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,Splicing,0.0939999756777607,0.005307400251739743,319,3190
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,3′ UTR,0.10744842677911062,0.012740268348147808,77,770
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,ncRNA,0.1077236779166419,0.007682188023253832,115,1150
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,5′ UTR,0.11210157993249711,0.010540498190082933,210,2100
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,Promoter,0.09712136303938018,0.006117126378068217,205,2050
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-enhancer-arm-a-step-4999,Enhancer,Distal,0.1349837052113969,0.021589578207611215,58,580
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,Missense,0.14212135258403552,0.01088761391768303,580,5800
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,Synonymous,0.17608729484843771,0.04339232166287819,46,460
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,Splicing,0.2302257626306407,0.020765832680652206,319,3190
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,3′ UTR,0.13513921073948912,0.02151146679777135,77,770
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,ncRNA,0.11732792123310559,0.012262429568091456,115,1150
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,5′ UTR,0.1156654522884508,0.0106282395924879,210,2100
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,Promoter,0.09083408302184812,0.005494395051641555,205,2050
phylop_uniform,"#517 uniform grid / phyloP, center-1 projection",exp517-phylop-uniform-background-step-4999,Background,Distal,0.11387077532703718,0.020520048405237985,58,580
