experiment,experiment_title,model,arm,subset,value,se,n_groups,n_rows
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ccre_non_promoter-step-4999,Enhancer,Distal,0.12677764296173202,0.02544359451209384,58,580
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,Missense,0.10159925513342433,0.004531042519159017,580,5800
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,Synonymous,0.1329021442894704,0.03190372836196773,46,460
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,Splicing,0.09947862667615645,0.005759361766922428,319,3190
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,3′ UTR,0.12218612938120502,0.016301326161493455,77,770
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,ncRNA,0.10993967221236661,0.01066754630088288,115,1150
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,5′ UTR,0.11329961941342048,0.010009739040226426,210,2100
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,Promoter,0.0923068331897981,0.005023462970530853,205,2050
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_bg-step-4999,Background,Distal,0.10235332430167896,0.01703820097187397,58,580
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,Missense,0.3094347850990349,0.017720896305452854,580,5800
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,Synonymous,0.15356598614700814,0.03846790685784338,46,460
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,Splicing,0.25526153060256157,0.020016169351164133,319,3190
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,3′ UTR,0.131910545942461,0.023861086243420985,77,770
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,ncRNA,0.10609234918248964,0.009217081313969115,115,1150
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,5′ UTR,0.11504764086433722,0.011256172907698803,210,2100
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,Promoter,0.09305566520247034,0.0058265630579968026,205,2050
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-cds-step-4999,CDS,Distal,0.11057226430096234,0.01894618999911339,58,580
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,Missense,0.1051592135584965,0.0056484775142388866,580,5800
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,Synonymous,0.1334450418179517,0.02575099904967314,46,460
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,Splicing,0.09844510327866433,0.005486762017752935,319,3190
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,3′ UTR,0.15698668582646225,0.025668846003042013,77,770
