alpha,nucleotide_ce,accuracy
0.0,1.0478162184357642,0.4921875
0.001,1.0475270937161325,0.49375
0.002,1.047255748119151,0.4953125
0.003,1.0469850343356508,0.4953125
0.004,1.046714952161733,0.496875
0.005,1.0464455013902827,0.496875
0.006,1.046176681810953,0.496875
0.007,1.0459084932101472,0.4984375
0.008,1.045640935370999,0.4984375
0.009000000000000001,1.0453740080733585,0.4984375
0.01,1.0451077110937728,0.5
0.011,1.044842044205471,0.5
0.012,1.0445770071783482,0.5
0.013000000000000001,1.0443125997789482,0.503125
0.014,1.0440488217704493,0.503125
0.015,1.0437856729126493,0.503125
0.016,1.04352315296195,0.5046875
0.017,1.0432612616713433,0.5046875
0.018000000000000002,1.0429999987903968,0.5078125
0.019,1.0427393640652407,0.5078125
0.02,1.0424793572385538,0.5078125
0.021,1.0422199780495505,0.509375
0.022,1.041961226233969,0.509375
0.023,1.0417031015240579,0.509375
0.024,1.0414456036485646,0.5109375
0.025,1.0411887323327251,0.5109375
0.026000000000000002,1.0409324872982502,0.5109375
0.027,1.0406768682633167,0.5109375
0.028,1.040421874942556,0.5125
0.029,1.040167507047045,0.5125
0.03,1.0399137642842942,0.5109375
0.031,1.0396606463582405,0.5109375
0.032,1.0394081529692372,0.5109375
0.033,1.039156283814045,0.5109375
0.034,1.0389050385858245,0.5109375
0.035,1.038654416974127,0.5109375
0.036000000000000004,1.0384044186648889,0.5125
0.037,1.0381550433404219,0.5125
0.038,1.0379062906794083,0.5125
0.039,1.037658160356893,0.5140625
0.04,1.037410652044279,0.5140625
0.041,1.0371637654093193,0.5140625
0.042,1.0369175001161142,0.515625
0.043000000000000003,1.036671855825103,0.515625
0.044,1.036426832193063,0.515625
0.045,1.0361824288731014,0.515625
0.046,1.0359386455146549,0.515625
0.047,1.0356954817634834,0.5171875
0.048,1.0354529372616679,0.5171875
0.049,1.0352110116476072,0.5171875
0.05,1.034969704556016,0.51875
0.051000000000000004,1.0347290156179216,0.51875
0.052000000000000005,1.034488944460664,0.51875
0.053,1.0342494907078918,0.51875
0.054,1.0340106539795633,0.51875
0.055,1.033772433891945,0.51875
0.056,1.0335348300576102,0.5203125
0.057,1.033297842085441,0.5203125
0.058,1.033061469580627,0.5203125
0.059000000000000004,1.0328257121446662,0.521875
0.06,1.0325905693753668,0.521875
0.061,1.0323560408668473,0.521875
0.062,1.0321221262095395,0.521875
0.063,1.031888824990189,0.521875
0.064,1.03165613679186,0.521875
0.065,1.0314240611939351,0.521875
0.066,1.03119259777212,0.521875
0.067,1.0309617460984473,0.521875
0.068,1.0307315057412791,0.521875
0.069,1.030501876265312,0.5234375
0.07,1.0302728572315807,0.5234375
0.07100000000000001,1.0300444481974633,0.5234375
0.07200000000000001,1.0298166487166862,0.5234375
0.073,1.0295894583393292,0.5234375
0.074,1.0293628766118317,0.5234375
0.075,1.0291369030769992,0.5234375
0.076,1.0289115372740076,0.5234375
0.077,1.0286867787384129,0.525
0.078,1.028462627002155,0.525
0.079,1.0282390815935682,0.5234375
0.08,1.0280161420373861,0.5234375
0.081,1.027793807854751,0.5234375
0.082,1.027572078563222,0.521875
0.083,1.0273509536767833,0.521875
0.084,1.0271304327058526,0.521875
0.085,1.026910515157292,0.521875
0.08600000000000001,1.0266912005344149,0.521875
0.08700000000000001,1.0264724883369976,0.521875
0.088,1.0262543780612892,0.521875
0.089,1.026036869200021,0.521875
0.09,1.025819961242418,0.521875
0.091,1.025603653674209,0.521875
0.092,1.025387945977639,0.521875
0.093,1.0251728376314795,0.521875
0.094,1.0249583281110402,0.521875
0.095,1.0247444168881823,0.521875
0.096,1.0245311034313296,0.521875
0.097,1.024318387205481,0.521875
0.098,1.0241062676722248,0.521875
0.099,1.023894744289749,0.521875
0.1,1.0236838165128581,0.521875
0.101,1.023473483792984,0.521875
0.10200000000000001,1.0232637455782008,0.521875
0.10300000000000001,1.0230546013132389,0.521875
0.10400000000000001,1.0228460504394998,0.521875
0.105,1.0226380923950693,0.521875
0.106,1.0224307266147346,0.5234375
0.107,1.0222239525299963,0.5234375
0.108,1.0220177695690869,0.5234375
0.109,1.0218121771569841,0.5234375
0.11,1.0216071747154272,0.5234375
0.111,1.0214027616629338,0.525
0.112,1.0211989374148147,0.5234375
0.113,1.0209957013831918,0.5234375
0.114,1.020793052977013,0.5234375
0.115,1.020590991602071,0.5234375
0.116,1.0203895166610186,0.5234375
0.117,1.0201886275533874,0.521875
0.11800000000000001,1.0199883236756038,0.525
0.11900000000000001,1.0197886044210083,0.525
0.12,1.0195894691798724,0.525
0.121,1.0193909173394164,0.5265625
0.122,1.0191929482838287,0.5265625
0.123,1.018995561394283,0.525
0.124,1.018798756048957,0.525
0.125,1.018602531623054,0.525
0.126,1.0184068874888166,0.525
0.127,1.0182118230155508,0.5265625
0.128,1.0180173375696426,0.5265625
0.129,1.017823430514579,0.5265625
0.13,1.017630101210965,0.525
0.131,1.0174373490165476,0.525
0.132,1.017245173286231,0.525
0.133,1.0170535733721013,0.525
0.134,1.0168625486234433,0.525
0.135,1.0166720983867623,0.525
0.136,1.0164822220058045,0.5265625
0.137,1.0162929188215777,0.5265625
0.138,1.0161041881723727,0.5265625
0.139,1.0159160293937826,0.525
0.14,1.0157284418187253,0.525
0.14100000000000001,1.0155414247774648,0.525
0.14200000000000002,1.015354977597631,0.5234375
0.14300000000000002,1.0151690996042435,0.5234375
0.14400000000000002,1.014983790119731,0.5234375
0.145,1.0147990484639535,0.5234375
0.146,1.0146148739542256,0.525
0.147,1.0144312659053358,0.525
0.148,1.014248223629571,0.525
0.149,1.0140657464367366,0.525
0.15,1.01388383363418,0.525
0.151,1.0137024845268126,0.521875
0.152,1.0135216984171311,0.521875
0.153,1.0133414746052418,0.521875
0.154,1.013161812388882,0.5234375
0.155,1.012982711063442,0.5234375
0.156,1.0128041699219896,0.5234375
0.157,1.012626188255291,0.525
0.158,1.0124487653518355,0.525
0.159,1.0122719004978564,0.525
0.16,1.0120955929773552,0.525
0.161,1.0119198420721247,0.525
0.162,1.0117446470617715,0.525
0.163,1.0115700072237392,0.5265625
0.164,1.0113959218333328,0.5265625
0.165,1.0112223901637398,0.528125
0.166,1.0110494114860553,0.528125
0.167,1.0108769850693045,0.528125
0.168,1.010705110180466,0.528125
0.169,1.0105337860844963,0.528125
0.17,1.0103630120443516,0.528125
0.171,1.0101927873210126,0.5296875
0.17200000000000001,1.010023111173507,0.5296875
0.17300000000000001,1.0098539828589341,0.53125
0.17400000000000002,1.0096854016324879,0.53125
0.17500000000000002,1.0095173667474804,0.53125
0.176,1.0093498774553644,0.5328125
0.177,1.0091829330057598,0.5328125
0.178,1.0090165326464746,0.5328125
0.179,1.0088506756235294,0.5328125
0.18,1.0086853611811817,0.5328125
0.181,1.0085205885619484,0.5328125
0.182,1.00835635700663,0.534375
