candidate,baseline,n_targets,nucleotide_ce_delta,nucleotide_ce_delta_ci95_low,nucleotide_ce_delta_ci95_high,nucleotide_accuracy_delta,nucleotide_accuracy_delta_ci95_low,nucleotide_accuracy_delta_ci95_high
source_right,source_left,640,-0.019016700983047485,-0.07295970484614371,0.03262224771082399,0.003125,-0.04375,0.0515625
two_pass,source_left,640,-0.12972291802731578,-0.15881637573607596,-0.10275559849712772,0.1046875,0.07339843750000001,0.1359375
