candidate,baseline,n_targets,nucleotide_ce_delta,nucleotide_ce_delta_ci95_low,nucleotide_ce_delta_ci95_high,nucleotide_accuracy_delta,nucleotide_accuracy_delta_ci95_low,nucleotide_accuracy_delta_ci95_high,optimizer_step
lora_full_step0000,source_causal_corrected,640,0.33622395135462285,0.2793010451667942,0.3889813089231029,-0.1796875,-0.2265625,-0.1328125,0
lora_full_step0025,source_causal_corrected,640,0.3339633892290294,0.2774506946129259,0.3865206946642138,-0.1796875,-0.2265625,-0.1328125,25
lora_full_step0050,source_causal_corrected,640,0.3262683333363384,0.27125947760185226,0.37786732141626994,-0.175,-0.221875,-0.1280859375000002,50
lora_full_step0100,source_causal_corrected,640,0.2963105937466025,0.24639479763805866,0.3438784732320345,-0.159375,-0.2046875,-0.1125,100
lora_full_step0200,source_causal_corrected,640,0.26879495307803153,0.221784172647167,0.3152479772688821,-0.1359375,-0.178125,-0.090625,200
lora_full_step0300,source_causal_corrected,640,0.25757141299545766,0.21182752292836085,0.3035877888044342,-0.1203125,-0.1609375,-0.0796875,300
lora_full_step0400,source_causal_corrected,640,0.24923997204750775,0.20447743725730105,0.29468883502064275,-0.11875,-0.159375,-0.078125,400
lora_full_step0500,source_causal_corrected,640,0.24369531217962503,0.1988062102207914,0.28918013847200197,-0.1046875,-0.1453125,-0.062460937500000216,500
lora_full_step0600,source_causal_corrected,640,0.24063381468877196,0.1951554932584986,0.2868011671863496,-0.1078125,-0.1469140625,-0.065625,600
lora_full_step0700,source_causal_corrected,640,0.23843795713037252,0.19280020765494557,0.284003770847339,-0.0984375,-0.140625,-0.05625,700
lora_full_step0800,source_causal_corrected,640,0.2366270709782839,0.19141399875748902,0.28251451602438465,-0.115625,-0.1578125,-0.071875,800
lora_full_step0900,source_causal_corrected,640,0.2317807162180543,0.1865571674448438,0.2782812513574026,-0.090625,-0.1328515625,-0.0484375,900
lora_full_step1000,source_causal_corrected,640,0.23199134962633253,0.18628390067024156,0.2784121853578836,-0.1,-0.14375,-0.0578125,1000
