readout,n_targets,nucleotide_ce,nucleotide_accuracy,optimizer_step
source_causal_corrected,640,1.0510000139474869,0.509375,0
lora_full_step0000,640,1.3872239653021097,0.3296875,0
lora_full_step0025,640,1.3849634031765163,0.3296875,25
lora_full_step0050,640,1.3772683472838252,0.334375,50
lora_full_step0100,640,1.3473106076940895,0.35,100
lora_full_step0200,640,1.3197949670255185,0.3734375,200
lora_full_step0300,640,1.3085714269429445,0.3890625,300
lora_full_step0400,640,1.3002399859949947,0.390625,400
lora_full_step0500,640,1.294695326127112,0.4046875,500
lora_full_step0600,640,1.2916338286362588,0.4015625,600
lora_full_step0700,640,1.2894379710778594,0.4109375,700
lora_full_step0800,640,1.2876270849257707,0.39375,800
lora_full_step0900,640,1.2827807301655412,0.41875,900
lora_full_step1000,640,1.2829913635738195,0.409375,1000
