future_edge_probability,mask_replicates,n_targets,nucleotide_ce,nucleotide_ce_min,nucleotide_ce_max,nucleotide_accuracy,nucleotide_accuracy_min,nucleotide_accuracy_max,full_vocab_ce,full_vocab_accuracy,ce_degradation_fraction,accuracy_degradation_fraction
0.0,5,640,1.0516807109117507,1.0516807109117507,1.0516807109117507,0.5109375,0.5109375,0.5109375,1.0517015367746354,0.5109375,0.0,0.0
0.01,5,640,1.1742220199108124,1.1584432005882264,1.1853226661682128,0.4565625,0.4453125,0.4609375,1.1742382085323333,0.4565625,0.32857232778195733,0.2259740259740262
0.02,5,640,1.234797782897949,1.2209752321243286,1.246879243850708,0.4178125,0.40625,0.4265625,1.2348434114456177,0.4178125,0.49099526592768916,0.38701298701298725
0.05,5,640,1.3029627418518066,1.2923974990844727,1.319688320159912,0.3796875,0.3609375,0.4015625,1.3030786418914795,0.3796875,0.6737672586505843,0.5454545454545455
0.1,5,640,1.3410900115966797,1.3342103958129883,1.353014087677002,0.346875,0.340625,0.35625,1.341573143005371,0.346875,0.7759986276017637,0.681818181818182
0.2,5,640,1.3548226928710938,1.3461601257324218,1.3636642456054688,0.325,0.315625,0.33125,1.3549215698242187,0.325,0.8128203254429095,0.7727272727272727
0.3,5,640,1.3709950256347656,1.3605392456054688,1.3839004516601563,0.3096875,0.30625,0.3125,1.3711204528808594,0.3096875,0.856183506930262,0.8363636363636364
0.4,5,640,1.3824545288085939,1.3772109985351562,1.386376953125,0.29500000000000004,0.28125,0.30625,1.3825506591796874,0.29500000000000004,0.8869100893685018,0.8974025974025973
0.5,5,640,1.3896510314941406,1.3823577880859375,1.397301483154297,0.29500000000000004,0.2890625,0.303125,1.3897380065917968,0.29500000000000004,0.9062062080291675,0.8974025974025973
0.6,5,640,1.399676513671875,1.3943328857421875,1.4039901733398437,0.291875,0.2859375,0.3078125,1.3997506713867187,0.291875,0.9330877228683793,0.9103896103896104
0.8,5,640,1.4104913330078124,1.4052627563476563,1.4149215698242188,0.28625,0.275,0.2921875,1.410595703125,0.28625,0.9620857023479154,0.9337662337662338
1.0,5,640,1.4246315002441405,1.4246315002441405,1.4246315002441405,0.2703125,0.2703125,0.2703125,1.4248031616210937,0.2703125,1.0,1.0
