candidate,baseline,n_targets,nucleotide_ce_delta,nucleotide_ce_delta_ci95_low,nucleotide_ce_delta_ci95_high,nucleotide_accuracy_delta,nucleotide_accuracy_delta_ci95_low,nucleotide_accuracy_delta_ci95_high,future_edge_probability
source_unk_p01_mean,source_unk_p00_mean,640,0.1225413089990616,0.09558051446080207,0.14914082251489155,-0.05437499999999999,-0.078125,-0.03186718750000004,0.01
source_unk_p02_mean,source_unk_p00_mean,640,0.18311707198619845,0.1509295759946108,0.21591834555566305,-0.093125,-0.1209453125,-0.06717968750000004,0.02
source_unk_p03_mean,source_unk_p00_mean,640,0.25128203094005586,0.21094816069304942,0.2920342798382044,-0.13125,-0.1640703125,-0.099375,0.05
source_unk_p04_mean,source_unk_p00_mean,640,0.28940930068492887,0.24466642962396146,0.3335285744965076,-0.1640625,-0.19968749999999996,-0.128125,0.1
source_unk_p05_mean,source_unk_p00_mean,640,0.30314198195934294,0.2571785214692354,0.3492112966179848,-0.1859375,-0.22532812499999996,-0.14562499999999998,0.2
source_unk_p06_mean,source_unk_p00_mean,640,0.3193143147230148,0.27180158551037314,0.36746769002079954,-0.20125,-0.242203125,-0.16060156250000013,0.3
source_unk_p07_mean,source_unk_p00_mean,640,0.33077381789684296,0.281811574101448,0.38096857434511183,-0.21593749999999998,-0.2578203125,-0.1746875,0.4
source_unk_p08_mean,source_unk_p00_mean,640,0.33797032058238985,0.28835435295104983,0.3893550468683243,-0.21593749999999998,-0.2575,-0.175,0.5
source_unk_p09_mean,source_unk_p00_mean,640,0.3479958027601242,0.29726652613282206,0.4001146411895751,-0.2190625,-0.2625078125,-0.17779687500000008,0.6
source_unk_p10_mean,source_unk_p00_mean,640,0.35881062209606174,0.30822660772502425,0.41380207847058764,-0.2246875,-0.2700078125,-0.17935156250000014,0.8
source_unk_p11_mean,source_unk_p00_mean,640,0.37295078933238984,0.32011920504271985,0.4294081526994704,-0.240625,-0.2890625,-0.19375,1.0
