name,split,method,W,k,stride_divisor,mask,hashes,rows_per_band,known_pairs,query_loci,recall1,recall10,recall100,recall10_ci_low,recall10_ci_high,decoy_fraction10,preparation_seconds,index_seconds,query_seconds,run_wall_seconds,target_index_bytes,cold_stage_seconds,measured_stage_sum_seconds,python_peak_rss_kib,external_peak_rss_kib,cluster_database_disk_bytes,raw_windows,candidate_loci_mean,candidate_loci_p95,raw_work,work_unit
dev-w1024-k13-d2-mask0-h32-scan-r2,dev,scan,1024,13,2,False,32,2,274,266,0.45255474452554745,0.5693430656934306,0.791970802919708,0.4838630093378608,0.6528415507505853,0.05413533834586466,19.867181301116943,3.814697265625e-06,0.20406103134155273,20.465682983398438,7262208,20.07124614715576,20.07124614715576,516328,,,,78.08646616541354,146.75,1126201216,signature entries compared
dev-w1024-k13-d2-mask0-h512-lsh-r1,dev,lsh,1024,13,2,False,512,1,274,266,0.8138686131386861,0.9087591240875912,0.948905109489051,0.8644025704343922,0.9491091560768979,0.029699248120300753,61.66124153137207,0.9925963878631592,7.002718210220337,19.75492238998413,290488320,69.65655612945557,69.65655612945557,816188,,,,766.8045112781955,1085.5,1476363,band entries
dev-w1024-k13-d2-mask0-h512-lsh-r2,dev,lsh,1024,13,2,False,512,2,274,266,0.5583941605839416,0.5693430656934306,0.5693430656934306,0.48600131752305664,0.6551724137931034,0.01956521739130435,61.582043409347534,0.6998746395111084,3.232083559036255,15.538025140762329,203341824,65.5140016078949,65.5140016078949,739196,,,,1.744360902255639,5.0,3331,band entries
dev-w1024-k13-d2-mask0-h512-lsh-r4,dev,lsh,1024,13,2,False,512,4,274,266,0.043795620437956206,0.043795620437956206,0.043795620437956206,0.013729930708129121,0.08245967741935471,0.0,61.608989238739014,0.4690408706665039,2.21573543548584,14.262478590011597,159768576,64.29376554489136,64.29376554489136,703884,,,,0.045112781954887216,0.0,43,band entries
dev-w1024-k13-d2-mask0-h512-scan-r2,dev,scan,1024,13,2,False,512,2,274,266,0.8138686131386861,0.9087591240875912,0.948905109489051,0.8644025704343922,0.9491091560768979,0.029699248120300753,61.78939199447632,4.5299530029296875e-06,1.0984272956848145,63.37040710449219,116195328,62.887823820114136,62.887823820114136,691076,,,,766.8045112781955,1085.5,18019219456,signature entries compared
dev-w1024-k13-d2-mask0,dev,exact,1024,13,2,False,,,274,266,0.8722627737226277,0.9343065693430657,0.9817518248175182,0.8956740383866192,0.9703731037310372,0.006390977443609023,11.155271768569946,2.420985460281372,1.4559483528137207,15.151543855667114,346923312,15.032205581665039,15.032205581665039,1188716,,,42556,1262.6616541353383,1505.0,6017735,kmer postings
dev-w1024-k13-d2-mask1,dev,exact,1024,13,2,True,,,274,266,0.8941605839416058,0.948905109489051,0.9671532846715328,0.917292556931898,0.9775301861479121,0.08759398496240602,7.3683013916015625,1.0550036430358887,0.5758788585662842,9.111185073852539,178569792,8.999183893203735,8.999183893203735,668260,,,42556,401.3646616541353,588.5,961275,kmer postings
dev-w1024-k13-d4-mask0,dev,exact,1024,13,4,False,,,274,266,0.8722627737226277,0.9379562043795621,0.9817518248175182,0.8992805755395683,0.9735849056603774,0.007518796992481203,13.843328952789307,4.901493787765503,2.16774845123291,21.061947107315063,514106064,20.91257119178772,20.91257119178772,1946796,,,74125,1262.6616541353383,1505.0,17777586,kmer postings
dev-w1024-k17-d2-mask0,dev,exact,1024,17,2,False,,,274,266,0.8102189781021898,0.8941605839416058,0.948905109489051,0.8450078537947542,0.9400804963944323,0.003419452887537994,12.542727947235107,2.5892858505249023,0.39620089530944824,15.64527177810669,380165704,15.528214693069458,15.528214693069458,1195808,,,42556,148.55263157894737,450.0,656618,kmer postings
dev-w1024-k21-d2-mask0,dev,exact,1024,21,2,False,,,274,266,0.7737226277372263,0.8284671532846716,0.8613138686131386,0.7620689655172413,0.8888888888888888,0.0,12.191957235336304,2.511112689971924,0.315568208694458,15.133094072341919,382553964,15.018638134002686,15.018638134002686,1192404,,,42556,44.285714285714285,167.5,271880,kmer postings
dev-w1024-k9-d2-mask0,dev,exact,1024,9,2,False,,,274,266,0.9014598540145985,0.9416058394160584,0.9708029197080292,0.8992805755395683,0.9775322668226055,0.0011278195488721805,11.145727396011353,2.3436942100524902,5.498622894287109,19.246492862701416,226135908,18.988044500350952,18.988044500350952,1144828,,,42556,1734.4248120300751,1736.0,507404976,kmer postings
dev-w128-k13-d2-mask0,dev,exact,128,13,2,False,,,274,266,0.8138686131386861,0.9124087591240876,0.9671532846715328,0.868238551051051,0.9543726235741445,0.007142857142857143,11.275396347045898,2.642578363418579,1.6217620372772217,15.70868706703186,326190152,15.5397367477417,15.5397367477417,1158324,,,336483,1262.6616541353383,1505.0,4851325,kmer postings
dev-w128-k17-d2-mask0,dev,exact,128,17,2,False,,,274,266,0.7883211678832117,0.8832116788321168,0.9452554744525548,0.8338732004429679,0.9294228023803126,0.004179331306990881,12.491576194763184,2.72622013092041,0.48677921295166016,15.862536191940308,353121472,15.704575538635254,15.704575538635254,1137420,,,336483,148.55263157894737,450.0,504453,kmer postings
dev-w128-k21-d2-mask0,dev,exact,128,21,2,False,,,274,266,0.7591240875912408,0.8284671532846716,0.8576642335766423,0.7636755074492552,0.8884861627426682,0.0,12.350362777709961,2.4941303730010986,0.36991119384765625,15.375283241271973,349282020,15.214404344558716,15.214404344558716,1106088,,,336483,44.285714285714285,167.5,191238,kmer postings
dev-w128-k9-d2-mask0,dev,exact,128,9,2,False,,,274,266,0.8868613138686131,0.9562043795620438,0.9854014598540146,0.920863309352518,0.9885057471264368,0.008646616541353383,11.438222885131836,2.458399534225464,18.110318660736084,32.33853030204773,213785220,32.006941080093384,32.006941080093384,1160852,,,336483,1734.4248120300751,1736.0,434039780,kmer postings
dev-w255-k13-d2-mask0,dev,exact,255,13,2,False,,,274,266,0.843065693430657,0.9233576642335767,0.9744525547445255,0.8806978624034488,0.9619771863117871,0.007894736842105263,10.958205223083496,2.7311723232269287,1.5646896362304688,15.411755323410034,337683664,15.254067182540894,15.254067182540894,1171360,,,169817,1262.6616541353383,1505.0,5381240,kmer postings
dev-w255-k17-d2-mask0,dev,exact,255,17,2,False,,,274,266,0.7956204379562044,0.8905109489051095,0.948905109489051,0.8419094989918972,0.9365730594240692,0.004559270516717325,12.355695486068726,2.619117259979248,0.42024922370910645,15.531682014465332,368162888,15.39506196975708,15.39506196975708,1167352,,,169817,148.55263157894737,450.0,558375,kmer postings
dev-w255-k21-d2-mask0,dev,exact,255,21,2,False,,,274,266,0.7627737226277372,0.8321167883211679,0.8576642335766423,0.7671208327195954,0.891801101370471,0.0,12.17620587348938,2.675553560256958,0.3350868225097656,15.315391063690186,367846180,15.186846256256104,15.186846256256104,1151048,,,169817,44.285714285714285,167.5,211306,kmer postings
dev-w255-k9-d1-mask0,dev,exact,255,9,1,False,,,274,266,0.8759124087591241,0.9525547445255474,0.9854014598540146,0.9183618999201104,0.981203007518797,0.008270676691729323,9.368818283081055,1.2894880771636963,6.535603284835815,17.459752321243286,118932040,17.193909645080566,17.193909645080566,676136,,,90086,1734.4135338345864,1736.0,133463751,kmer postings
dev-w255-k9-d2-linclust,dev,linclust,255,9,2,False,,,274,266,0.40875912408759124,0.4197080291970803,0.4197080291970803,0.3642455482661668,0.47941206733341557,0.0,11.581928253173828,2.422738790512085,0.18898749351501465,15.457911491394043,,,14.193654537200928,602004,575296,64034612,,0.4323308270676692,1.0,21767,cluster window pairs
dev-w255-k9-d2-mask0-h128-lsh-r1,dev,lsh,255,9,2,False,128,1,274,266,0.8102189781021898,0.9087591240875912,0.9598540145985401,0.8621785955943162,0.9502010401643285,0.02631578947368421,27.322319269180298,0.9743402004241943,48.59123921394348,61.996009349823,289676800,76.88789868354797,76.88789868354797,826616,,,,1734.0977443609022,1736.0,119497315,band entries
dev-w255-k9-d2-mask0-h128-lsh-r2,dev,lsh,255,9,2,False,128,2,274,266,0.7518248175182481,0.8138686131386861,0.864963503649635,0.7410066045524236,0.8801720897205629,0.02857142857142857,27.335360765457153,0.7397644519805908,3.1142630577087402,16.27355718612671,202773760,31.189388275146484,31.189388275146484,756352,,,,533.7368421052631,761.25,331844,band entries
dev-w255-k9-d2-mask0-h128-lsh-r4,dev,lsh,255,9,2,False,128,4,274,266,0.2591240875912409,0.2591240875912409,0.2591240875912409,0.18246516257465162,0.3371647509578544,0.0,27.323492527008057,0.48014283180236816,1.4946866035461426,14.315208673477173,159322240,29.298321962356567,29.298321962356567,718552,,,,0.32706766917293234,1.0,541,band entries
dev-w255-k9-d2-mask0-h128-scan-r2,dev,scan,255,9,2,False,128,2,274,266,0.8102189781021898,0.9087591240875912,0.9598540145985401,0.8621785955943162,0.9502010401643285,0.02631578947368421,27.338287353515625,5.245208740234375e-06,6.263769626617432,34.98620057106018,115870720,33.6020622253418,33.6020622253418,703000,,,,1734.0977443609022,1736.0,68091014656,signature entries compared
dev-w255-k9-d2-mask0-h32-lsh-r1,dev,lsh,255,9,2,False,32,1,274,266,0.5875912408759124,0.7043795620437956,0.8394160583941606,0.6319400571600481,0.7749077490774908,0.04887218045112782,20.41531229019165,0.2322077751159668,11.164371728897095,23.742423057556152,72419200,31.811891794204712,31.811891794204712,592760,,,,1732.8872180451128,1735.0,31420969,band entries
dev-w255-k9-d2-mask0-h32-lsh-r2,dev,lsh,255,9,2,False,32,2,274,266,0.5,0.6021897810218978,0.6861313868613139,0.528169014084507,0.6765855796005483,0.05488721804511278,20.505534648895264,0.17183208465576172,0.89892578125,13.510851383209229,50693440,21.576292514801025,21.576292514801025,575512,,,,159.4699248120301,302.0,84868,band entries
dev-w255-k9-d2-mask0-h32-lsh-r4,dev,lsh,255,9,2,False,32,4,274,266,0.13503649635036497,0.13503649635036497,0.13503649635036497,0.07941050731521947,0.2,0.0,20.277221202850342,0.11210012435913086,0.4596400260925293,12.72330641746521,39830560,20.848961353302002,20.848961353302002,564696,,,,0.14661654135338345,1.0,132,band entries
dev-w255-k9-d2-mask0-h32-scan-r2,dev,scan,255,9,2,False,32,2,274,266,0.5875912408759124,0.7043795620437956,0.8394160583941606,0.6319400571600481,0.7749077490774908,0.04887218045112782,20.352266788482666,5.0067901611328125e-06,3.873823881149292,25.448145151138306,28967680,24.22609567642212,24.22609567642212,573252,,,,1732.8872180451128,1735.0,17022753664,signature entries compared
dev-w255-k9-d2-mask0-h512-lsh-r1,dev,lsh,255,9,2,False,512,1,274,266,0.8905109489051095,0.9635036496350365,0.9890510948905109,0.9312686762288959,0.9923386215637429,0.012030075187969926,57.444754123687744,4.534983396530151,350.1033887863159,367.87822556495667,1158707200,412.0831263065338,412.0831263065338,1886264,,,,1734.4097744360902,1736.0,496755723,band entries
dev-w255-k9-d2-mask0-h512-lsh-r2,dev,lsh,255,9,2,False,512,2,274,266,0.8868613138686131,0.9452554744525548,0.9817518248175182,0.9097146739130435,0.9773606185274507,0.011278195488721804,57.14167404174805,3.4520208835601807,13.612306833267212,29.929771661758423,811095040,74.20600175857544,74.20600175857544,1478880,,,,1312.1766917293232,1523.75,1553309,band entries
dev-w255-k9-d2-mask0-h512-lsh-r4,dev,lsh,255,9,2,False,512,4,274,266,0.35766423357664234,0.35766423357664234,0.35766423357664234,0.2723736602223781,0.44447565543071144,0.012903225806451613,56.99635553359985,2.4599416255950928,5.714898347854614,20.770318031311035,637288960,65.17119550704956,65.17119550704956,1334492,,,,0.5827067669172933,2.0,2157,band entries
dev-w255-k9-d2-mask0-h512-scan-r2,dev,scan,255,9,2,False,512,2,274,266,0.8905109489051095,0.9635036496350365,0.9890510948905109,0.9312686762288959,0.9923386215637429,0.012030075187969926,57.1355242729187,3.814697265625e-06,11.740130186080933,70.5243079662323,463482880,68.8756582736969,68.8756582736969,1212192,,,,1734.4097744360902,1736.0,272364058624,signature entries compared
dev-w255-k9-d2-mask0,dev,exact,255,9,2,False,,,274,266,0.9197080291970803,0.9708029197080292,0.9854014598540146,0.9421572475143905,0.9928328167451116,0.004887218045112782,10.929381370544434,2.331615686416626,14.163170576095581,27.7273371219635,221361220,27.42416763305664,27.42416763305664,1156104,,,169817,1734.4248120300751,1736.0,468275724,kmer postings
dev-w255-k9-d2-mask1,dev,exact,255,9,2,True,,,274,266,0.7481751824817519,0.9379562043795621,0.9817518248175182,0.8993049310551559,0.9735873882820258,0.08984962406015037,7.822291612625122,1.0966598987579346,6.7570109367370605,15.92057204246521,109353108,15.675962448120117,15.675962448120117,663916,,,169817,1597.0751879699249,1611.0,137651235,kmer postings
dev-w255-k9-d4-mask0,dev,exact,255,9,4,False,,,274,266,0.9087591240875912,0.9708029197080292,0.9890510948905109,0.9392857142857143,0.9961984360427577,0.005639097744360902,14.304553747177124,4.87531852722168,40.494982957839966,60.03938388824463,428777404,59.67485523223877,59.67485523223877,2113960,,,331134,1734.4248120300751,1736.0,1767487116,kmer postings
dev-w4096-k13-d2-mask0,dev,exact,4096,13,2,False,,,274,266,0.8941605839416058,0.9416058394160584,0.9854014598540146,0.9042553191489362,0.9771863117870723,0.0011278195488721805,9.801203966140747,1.2904369831085205,0.9270594120025635,12.136711120605469,238802000,12.018700361251831,12.018700361251831,700716,,,5496,1262.6616541353383,1505.0,1809099,kmer postings
dev-w4096-k9-d2-mask0,dev,exact,4096,9,2,False,,,274,266,0.7700729927007299,0.8467153284671532,0.9233576642335767,0.7889174138978805,0.8977293463835434,0.0,9.859408140182495,1.0700671672821045,1.7522048950195312,12.804173469543457,115737812,12.68168020248413,12.68168020248413,637588,,,5496,1734.4248120300751,1736.0,144532883,kmer postings
dev-w511-k13-d2-mask0,dev,exact,511,13,2,False,,,274,266,0.864963503649635,0.927007299270073,0.9781021897810219,0.8831615120274914,0.9661654135338346,0.006766917293233083,11.087234735488892,2.5490450859069824,1.4382259845733643,15.197588443756104,343243832,15.074505805969238,15.074505805969238,1181872,,,84856,1262.6616541353383,1505.0,5666824,kmer postings
dev-w511-k17-d2-mask0,dev,exact,511,17,2,False,,,274,266,0.8065693430656934,0.8905109489051095,0.948905109489051,0.8419094989918972,0.9365730594240692,0.004179331306990881,12.40671706199646,2.6390469074249268,0.4045553207397461,15.573355674743652,375546104,15.450319290161133,15.450319290161133,1185216,,,84856,148.55263157894737,450.0,586823,kmer postings
dev-w511-k21-d2-mask0,dev,exact,511,21,2,False,,,274,266,0.7627737226277372,0.8284671532846716,0.8576642335766423,0.7620689655172413,0.8888888888888888,0.0,12.167152166366577,2.6886603832244873,0.3592822551727295,15.337557077407837,377028900,15.215094804763794,15.215094804763794,1178264,,,84856,44.285714285714285,167.5,230590,kmer postings
dev-w511-k9-d2-mask0,dev,exact,511,9,2,False,,,274,266,0.9124087591240876,0.9598540145985401,0.9890510948905109,0.9290483432720977,0.9856656334902231,0.004135338345864661,11.074040174484253,2.415259838104248,9.232457876205444,22.99291205406189,224500708,22.721757888793945,22.721757888793945,1143260,,,84856,1734.4248120300751,1736.0,487660237,kmer postings
dev-w64-k13-d2-mask0,dev,exact,64,13,2,False,,,274,266,0.7664233576642335,0.8905109489051095,0.9562043795620438,0.8395904436860068,0.9360902255639098,0.009398496240601503,12.475986003875732,2.4092001914978027,1.661264181137085,16.760124444961548,305017024,16.54645037651062,16.54645037651062,1137248,,,672384,1262.6616541353383,1505.0,4010085,kmer postings
dev-w64-k17-d2-mask0,dev,exact,64,17,2,False,,,274,266,0.7372262773722628,0.8576642335766423,0.9379562043795621,0.7993406314846255,0.9104560838928035,0.004559270516717325,13.410705804824829,2.400477170944214,0.6023249626159668,16.626903533935547,324840648,16.41350793838501,16.41350793838501,1084752,,,672384,148.55263157894737,450.0,406099,kmer postings
dev-w64-k21-d2-mask0,dev,exact,64,21,2,False,,,274,266,0.718978102189781,0.8138686131386861,0.8576642335766423,0.7466204646427249,0.8745247148288974,0.0,13.115301609039307,2.199162721633911,0.4844543933868408,16.001726150512695,313923476,15.798918724060059,15.798918724060059,1021752,,,672384,44.285714285714285,167.5,138701,kmer postings
dev-w64-k9-d2-mask0,dev,exact,64,9,2,False,,,274,266,0.8065693430656934,0.927007299270073,0.9817518248175182,0.8851156002941717,0.9657794676806084,0.008646616541353383,12.576905727386475,2.6920454502105713,23.15281581878662,38.83886241912842,199985204,38.42176699638367,38.42176699638367,1168980,,,672384,1734.4248120300751,1736.0,379285975,kmer postings
heldout-union-255k9-1024k13,heldout,union,,,,False,,,210,204,0.8904761904761904,0.9666666666666667,0.9952380952380953,0.9411764705882353,0.9869565217391304,0.006372549019607843,22.17437982559204,5.028991937637329,13.000625848770142,,568284532,40.20399761199951,40.20399761199951,,,,,167.90196078431373,183.0,40800,list entries
heldout-w1024-k13-d1-mask0,heldout,exact,1024,13,1,False,,,210,204,0.8666666666666667,0.9428571428571428,0.9714285714285714,0.9082125603864735,0.9721143204957946,0.008823529411764706,9.889634370803833,1.6056838035583496,0.9504473209381104,12.544695854187012,262767840,12.445765495300293,12.445765495300293,809672,,,26768,1306.985294117647,1575.7,2473343,kmer postings
heldout-w1024-k13-d2-linclust,heldout,linclust,1024,13,2,False,,,210,204,0.18095238095238095,0.18095238095238095,0.18095238095238095,0.11981172948914884,0.25123279019830747,0.0,11.209381341934204,1.337827444076538,0.06619763374328613,11.505054473876953,,,12.613406419754028,518704,226464,48471765,,0.18627450980392157,1.0,935,cluster window pairs
heldout-w1024-k13-d2-mask0-h512-lsh-r1,heldout,lsh,1024,13,2,False,512,1,210,204,0.8095238095238095,0.9,0.9380952380952381,0.852806870548806,0.9402985074626866,0.02303921568627451,61.940672874450684,1.0131480693817139,6.053370714187622,19.051246166229248,290488320,69.00719165802002,69.00719165802002,814296,,,,821.2745098039215,1195.4499999999998,1388931,band entries
heldout-w1024-k13-d2-mask0-h512-lsh-r2,heldout,lsh,1024,13,2,False,512,2,210,204,0.5047619047619047,0.5095238095238095,0.5095238095238095,0.42438316637630663,0.600046296296296,0.009925558312655087,61.93642449378967,0.6660783290863037,2.53586745262146,15.078584432601929,203341824,65.13837027549744,65.13837027549744,739336,,,,2.465686274509804,7.0,4683,band entries
heldout-w1024-k13-d2-mask0-h512-scan-r2,heldout,scan,1024,13,2,False,512,2,210,204,0.8095238095238095,0.9,0.9380952380952381,0.852806870548806,0.9402985074626866,0.02303921568627451,61.78248953819275,4.76837158203125e-06,0.9488186836242676,12.65099024772644,116195328,62.7313129901886,62.7313129901886,673424,,,,821.2745098039215,1195.4499999999998,16377825280,signature entries compared
heldout-w1024-k13-d2-mask0,heldout,exact,1024,13,2,False,,,210,204,0.8714285714285714,0.9523809523809523,0.9761904761904762,0.9182692307692307,0.9802004584694922,0.005392156862745098,11.267171144485474,2.5594804286956787,1.2690773010253906,15.20459270477295,346923312,15.095728874206543,15.095728874206543,1188472,,,42556,1311.950980392157,1577.85,5741374,kmer postings
heldout-w1024-k13-d2-mask1,heldout,exact,1024,13,2,True,,,210,204,0.8666666666666667,0.9666666666666667,0.9904761904761905,0.9423076923076923,0.9866071428571429,0.0784313725490196,7.1933605670928955,1.1194348335266113,0.4911317825317383,8.895400047302246,178569792,8.803927183151245,8.803927183151245,668248,,,42556,412.94607843137254,757.4499999999998,920302,kmer postings
heldout-w1024-k13-d4-mask0,heldout,exact,1024,13,4,False,,,210,204,0.8809523809523809,0.9571428571428572,0.9761904761904762,0.9278846153846154,0.9812206572769953,0.004901960784313725,14.175441265106201,4.3312976360321045,1.7743480205535889,20.391645669937134,514106064,20.281086921691895,20.281086921691895,1945580,,,74125,1311.950980392157,1577.85,16375508,kmer postings
heldout-w1024-k17-d2-mask0,heldout,exact,1024,17,2,False,,,210,204,0.819047619047619,0.9047619047619048,0.9476190476190476,0.860693527554535,0.9459459459459459,0.003925417075564278,12.622520923614502,2.818356513977051,0.36838817596435547,15.912511825561523,380165704,15.809265613555908,15.809265613555908,1195860,,,42556,198.29901960784315,570.05,762703,kmer postings
heldout-w1024-k21-d2-mask0,heldout,exact,1024,21,2,False,,,210,204,0.7428571428571429,0.8523809523809524,0.8857142857142857,0.7920741820374931,0.9076958525345622,0.0,12.252891778945923,2.5034780502319336,0.2702598571777344,15.126778841018677,382553964,15.02662968635559,15.02662968635559,1192388,,,42556,54.3578431372549,194.5999999999999,290646,kmer postings
heldout-w255-k9-d1-mask0,heldout,exact,255,9,1,False,,,210,204,0.8714285714285714,0.9571428571428572,0.9857142857142858,0.9253731343283582,0.9840775360098069,0.005392156862745098,9.295133829116821,1.2907593250274658,5.345824241638184,16.150786638259888,118932040,15.93171739578247,15.93171739578247,691180,,,90086,1734.4803921568628,1736.0,114799395,kmer postings
heldout-w255-k9-d2-linclust,heldout,linclust,255,9,2,False,,,210,204,0.41904761904761906,0.4238095238095238,0.4238095238095238,0.366378243427791,0.4925409537677466,0.0,11.480804681777954,2.422738790512085,0.18058252334594727,12.586344003677368,,,14.084125995635986,601952,575296,64034612,,0.4362745098039216,1.0,22132,cluster window pairs
heldout-w255-k9-d2-mask0-h512-lsh-r2,heldout,lsh,255,9,2,False,512,2,210,204,0.8523809523809524,0.9571428571428572,0.9714285714285714,0.9238095238095239,0.9852216748768473,0.014215686274509804,57.01102590560913,3.451456308364868,11.31535005569458,27.197961568832397,811095040,71.77783226966858,71.77783226966858,1477504,,,,1339.7254901960785,1627.7,1317659,band entries
heldout-w255-k9-d2-mask0-h512-scan-r2,heldout,scan,255,9,2,False,512,2,210,204,0.8476190476190476,0.9571428571428572,0.9809523809523809,0.924620745235612,0.985076474065317,0.009313725490196078,57.037330865859985,5.245208740234375e-06,9.650232076644897,22.001638650894165,463482880,66.68756818771362,66.68756818771362,1195488,,,,1734.4803921568628,1736.0,231485080064,signature entries compared
heldout-w255-k9-d2-mask0,heldout,exact,255,9,2,False,,,210,204,0.8904761904761904,0.9714285714285714,0.9952380952380953,0.948714953271028,0.99095124536301,0.006372549019607843,10.907208681106567,2.4695115089416504,11.667900323867798,25.281879663467407,221361220,25.044620513916016,25.044620513916016,1153720,,,169817,1734.4950980392157,1736.0,395164217,kmer postings
heldout-w255-k9-d2-mask1,heldout,exact,255,9,2,True,,,210,204,0.7571428571428571,0.9380952380952381,0.9904761904761905,0.901465639174755,0.96902995984562,0.08872549019607844,7.659935474395752,1.097700595855713,5.559776544570923,14.524706363677979,109353108,14.317412614822388,14.317412614822388,663932,,,169817,1597.299019607843,1613.0,115310894,kmer postings
heldout-w255-k9-d4-mask0,heldout,exact,255,9,4,False,,,210,204,0.8904761904761904,0.9714285714285714,0.9952380952380953,0.9485900741218176,0.9904773188896412,0.004411764705882353,14.399507999420166,4.951966047286987,33.24840998649597,52.87534523010254,428777404,52.599884033203125,52.599884033203125,2114108,,,331134,1734.4950980392157,1736.0,1480901551,kmer postings
heldout-w4096-k13-d2-mask0,heldout,exact,4096,13,2,False,,,210,204,0.9,0.9666666666666667,0.9857142857142858,0.9402933489235848,0.9869009872792861,0.004411764705882353,9.91869044303894,1.3224751949310303,0.796107292175293,12.131943702697754,238802000,12.037272930145264,12.037272930145264,700148,,,5496,1311.950980392157,1577.85,2390646,kmer postings
heldout-w4096-k9-d2-mask0,heldout,exact,4096,9,2,False,,,210,204,0.8,0.9095238095238095,0.9571428571428572,0.8591549295774648,0.9558877331420373,0.0,10.00922155380249,1.0330235958099365,1.548659324645996,12.691113233566284,115737812,12.590904474258423,12.590904474258423,638544,,,5496,1734.4950980392157,1736.0,148651062,kmer postings
heldout-w511-k9-d2-mask0,heldout,exact,511,9,2,False,,,210,204,0.9142857142857143,0.9714285714285714,0.9952380952380953,0.947108997584541,0.9907407407407407,0.0029411764705882353,11.092758178710938,2.27085018157959,7.821993350982666,21.402467489242554,224500708,21.185601711273193,21.185601711273193,1155280,,,84856,1734.4950980392157,1736.0,421079216,kmer postings
