name	assembly	sequence	format	sha256	chrom_sizes	chrom_sizes_sha256	origin
Equus_caballus	GCF_000002305.2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Equus_caballus.2bit	twobit	fd607ec07b670824ad47950bd06074d07d70b90e085ed1efed23255a4582785c	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Equus_caballus.tsv	f0cdc744dbf9b5ad7178156ce4b7ca0ed7019e0df20814fa2ca95a4ddbcb4e64	direction_matched_no_dupes_psl_swap
Manis_javanica	GCF_001685135.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Manis_javanica.2bit	twobit	b09ee2f4db8e5d8be942b7a6fa74970ededd3069075d5d16aac8331272957d6c	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Manis_javanica.tsv	a1e7cae5426ba2bc7b36298faf787e435deb3b871fe6bd4ef3f838b0c44bf3ae	direction_matched_no_dupes_psl_swap
Choloepus_hoffmanni	GCA_000164785.2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Choloepus_hoffmanni.2bit	twobit	e6897c83e7169eea2914644f673cd5118dc302dee4e34c79d904cc45067934a3	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Choloepus_hoffmanni.tsv	76d04dbf595ca29ca0218b4fa307929ce97e2733215534729202c94da34116eb	direction_matched_no_dupes_psl_swap
Loxodonta_africana	GCF_030014295.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Loxodonta_africana.2bit	twobit	231016397be3e94e83c7532c7e89da2d5e1ca8a91e64ceabefd0753fcb1323ee	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Loxodonta_africana.tsv	78b428f3b3d748569d68aff457731ebb22b01dc82ff0d83526d41f453a50ff1b	direction_matched_no_dupes_psl_swap
Mus_musculus	GCF_000001635.26	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Mus_musculus.2bit	twobit	ec82764f1cf7ee02adb9ccccd4ffaa1776faf35145a43ce5f59c625e341d653b	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Mus_musculus.tsv	564322df15d7258b49114c9349c4725f7522ac0191a907998367e9a68dadfe19	direction_matched_no_dupes_psl_swap
Tupaia_tana	GCA_004365275.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Tupaia_tana.2bit	twobit	6a43e7d956fa5cc67dc5750cfa6bf674afd88c7b3dc1ca0afeca4730de371f5a	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Tupaia_tana.tsv	895ee30207bbc459a2e73c8d9730dba3322900554277af84e0f47aa62589dd83	direction_matched_no_dupes_psl_swap
Trichechus_manatus	GCF_000243295.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Trichechus_manatus.2bit	twobit	b04ba244ce7474a3b6a65fe98e243ba25df6df563f2353350c9cd6b0c6a2b989	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Trichechus_manatus.tsv	09d63321bc0177e4892e17b53717fb240cc8ef143305b3989ed12cdfce0d80eb	direction_matched_no_dupes_psl_swap
Orycteropus_afer	GCA_004365145.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Orycteropus_afer.2bit	twobit	ce501de06224f4733503ea4e569ffe42a18c984f389bf146cd010f63d77f9a0f	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Orycteropus_afer.tsv	f79294c65e4824b52c4b93009f0e9a5e5ceb03a0441f9960032db7de37db3b69	direction_matched_no_dupes_psl_swap
anaPla1	BGI_duck_1.0/anaPla1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/anaPla1.2bit	twobit	6e831b19fe38bea83eef72dc9cf82807cf7f5df84077803c9703063775b5c933	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/anaPla1.chrom.sizes	3891a366d597af526fe3d8db93ad3af0203ad25f504a72260988e2ed88c77376	UCSC-hg38-over-chain
colLiv1	Cliv_1.0/colLiv1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/colLiv1.2bit	twobit	47a9fb7ff4a0c21102892e8aa782f96b590a2fd9ad8dcf2f23b64476fa3a571f	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/colLiv1.chrom.sizes	83e8d54430ce7fb48d3287c1a630162a86a789375b26c27b3cad4454a91e07e5	UCSC-hg38-over-chain
