species,windows_per_species,windows,median_seconds,min_seconds,max_seconds,median_peak_rss_kib,index_bytes,selected_occurrences,score_lookups,repetitions
125,2048,256000,7.6849541664123535,7.372128248214722,7.6894049644470215,372872.0,102398416,6399901,6399901,3
250,1024,256000,7.8815202713012695,7.574854850769043,7.905402898788452,372748.0,102356256,6397266,6397266,3
250,2048,512000,16.85832953453064,16.718377351760864,16.88092303276062,743996.0,204748944,12796809,12796809,3
250,4096,1024000,35.30274415016174,35.141486406326294,36.3697247505188,1488392.0,409472128,25592008,25592008,3
250,8192,2048000,75.26840114593506,75.15513372421265,75.75908994674683,2981856.0,819012400,51188287,51188287,3
500,2048,1024000,35.563003063201904,35.558085203170776,36.1908016204834,1488616.0,409552240,25597015,25597015,3
1000,2048,2048000,75.58666753768921,75.5175518989563,75.7324116230011,2982628.0,819243920,51202751,51202749,3
