context_bp,subset,value,se,n_groups,n_rows,dataset,split,regime
31,3_prime_UTR_variant,0.183675,0.034444369,77,770,mendelian_traits,train,context reduction
63,3_prime_UTR_variant,0.30931507,0.0562676,77,770,mendelian_traits,train,context reduction
127,3_prime_UTR_variant,0.35045149,0.049324148,77,770,mendelian_traits,train,context reduction
255,3_prime_UTR_variant,0.44548897,0.052178176,77,770,mendelian_traits,train,training context
511,3_prime_UTR_variant,0.45181759,0.052833638,77,770,mendelian_traits,train,inference extension
1023,3_prime_UTR_variant,0.10155611,0.0092914354,77,770,mendelian_traits,train,inference extension
31,5_prime_UTR_variant,0.2515387,0.030588502,210,2100,mendelian_traits,train,context reduction
63,5_prime_UTR_variant,0.25828884,0.029658779,210,2100,mendelian_traits,train,context reduction
127,5_prime_UTR_variant,0.35345762,0.033692279,210,2100,mendelian_traits,train,context reduction
255,5_prime_UTR_variant,0.42655137,0.033719702,210,2100,mendelian_traits,train,training context
511,5_prime_UTR_variant,0.44474299,0.033403573,210,2100,mendelian_traits,train,inference extension
1023,5_prime_UTR_variant,0.10659474,0.0083391547,210,2100,mendelian_traits,train,inference extension
31,_macro_avg_,0.19412285,0.01023956,8,16100,mendelian_traits,train,context reduction
63,_macro_avg_,0.30640466,0.014307785,8,16100,mendelian_traits,train,context reduction
127,_macro_avg_,0.36578927,0.014870404,8,16100,mendelian_traits,train,context reduction
255,_macro_avg_,0.39452977,0.015540376,8,16100,mendelian_traits,train,training context
511,_macro_avg_,0.41207532,0.015324675,8,16100,mendelian_traits,train,inference extension
1023,_macro_avg_,0.10605134,0.0048328848,8,16100,mendelian_traits,train,inference extension
31,distal,0.17280361,0.040524061,58,580,mendelian_traits,train,context reduction
63,distal,0.32869689,0.06087988,58,580,mendelian_traits,train,context reduction
127,distal,0.34980137,0.060808538,58,580,mendelian_traits,train,context reduction
255,distal,0.33791779,0.059171308,58,580,mendelian_traits,train,training context
511,distal,0.3448962,0.058578743,58,580,mendelian_traits,train,inference extension
1023,distal,0.13471346,0.030716238,58,580,mendelian_traits,train,inference extension
31,missense_variant,0.16189965,0.011517319,580,5800,mendelian_traits,train,context reduction
63,missense_variant,0.33894598,0.018070968,580,5800,mendelian_traits,train,context reduction
127,missense_variant,0.41624242,0.019512892,580,5800,mendelian_traits,train,context reduction
255,missense_variant,0.43778064,0.018952763,580,5800,mendelian_traits,train,training context
511,missense_variant,0.43163314,0.019455406,580,5800,mendelian_traits,train,inference extension
1023,missense_variant,0.10029395,0.0044038484,580,5800,mendelian_traits,train,inference extension
31,non_coding_transcript_exon_variant,0.3535105,0.043370847,115,1150,mendelian_traits,train,context reduction
63,non_coding_transcript_exon_variant,0.35623891,0.038498713,115,1150,mendelian_traits,train,context reduction
127,non_coding_transcript_exon_variant,0.39296202,0.037623983,115,1150,mendelian_traits,train,context reduction
255,non_coding_transcript_exon_variant,0.42816418,0.043459574,115,1150,mendelian_traits,train,training context
511,non_coding_transcript_exon_variant,0.46749102,0.037125322,115,1150,mendelian_traits,train,inference extension
1023,non_coding_transcript_exon_variant,0.10149279,0.0061637693,115,1150,mendelian_traits,train,inference extension
31,splicing,0.12007286,0.0090870723,319,3190,mendelian_traits,train,context reduction
63,splicing,0.30260709,0.024833098,319,3190,mendelian_traits,train,context reduction
127,splicing,0.49213118,0.029707726,319,3190,mendelian_traits,train,context reduction
255,splicing,0.47792352,0.028947458,319,3190,mendelian_traits,train,training context
511,splicing,0.45134832,0.028172129,319,3190,mendelian_traits,train,inference extension
1023,splicing,0.097091293,0.0042704413,319,3190,mendelian_traits,train,inference extension
31,synonymous_variant,0.12746119,0.020850645,46,460,mendelian_traits,train,context reduction
63,synonymous_variant,0.2766879,0.043771284,46,460,mendelian_traits,train,context reduction
127,synonymous_variant,0.30257853,0.056260048,46,460,mendelian_traits,train,context reduction
255,synonymous_variant,0.32270093,0.062793342,46,460,mendelian_traits,train,training context
511,synonymous_variant,0.41434668,0.063638629,46,460,mendelian_traits,train,inference extension
1023,synonymous_variant,0.11606731,0.01694003,46,460,mendelian_traits,train,inference extension
31,tss_proximal,0.18202125,0.020372428,205,2050,mendelian_traits,train,context reduction
63,tss_proximal,0.28045658,0.031752943,205,2050,mendelian_traits,train,context reduction
127,tss_proximal,0.26868955,0.03228734,205,2050,mendelian_traits,train,context reduction
255,tss_proximal,0.27971078,0.032657088,205,2050,mendelian_traits,train,training context
511,tss_proximal,0.29032663,0.033032038,205,2050,mendelian_traits,train,inference extension
1023,tss_proximal,0.090601073,0.0057347044,205,2050,mendelian_traits,train,inference extension
