protocol,subset,baseline_context_bp,extension_context_bp,delta_extension_minus_baseline,se,ci_low,ci_high,p_two_sided,significant_0_05,n_bootstrap_valid,n_clusters,n_rows
zero-shot,_macro_avg_,255,511,0.017545546810647572,0.0056496117712859124,0.005706895396738936,0.027787622677781208,0.0024,True,10000,1610,16100
zero-shot,missense_variant,255,511,-0.006147507440546818,0.007007572294133108,-0.019594926473308766,0.007864452956760687,0.3984,False,10000,580,5800
zero-shot,splicing,255,511,-0.026575204561586574,0.017771088299603117,-0.06160999368420185,0.008463438053399734,0.1376,False,10000,319,3190
zero-shot,synonymous_variant,255,511,0.09164574694854066,0.032002233143955665,0.027550528772932768,0.15228043942685998,0.0042,True,10000,46,460
zero-shot,tss_proximal,255,511,0.010615844056673429,0.006417258971316704,-0.0032338767397890517,0.02211236171612256,0.1414,False,10000,205,2050
zero-shot,5_prime_UTR_variant,255,511,0.01819162274759556,0.008276803370877009,0.0019521523211164184,0.034714108097877075,0.0268,True,10000,210,2100
zero-shot,3_prime_UTR_variant,255,511,0.006328619953115067,0.013996335315127905,-0.018644125678965385,0.036491564646267134,0.6494,False,10000,77,770
zero-shot,distal,255,511,0.006978412121475541,0.01024054561642557,-0.01205539531907975,0.02846737102775701,0.5186,False,10000,58,580
zero-shot,non_coding_transcript_exon_variant,255,511,0.03932684065991371,0.016492363773278805,0.005975479506209999,0.06819621363032717,0.0158,True,10000,115,1150
probe,_macro_avg_,255,511,-0.01243109211568244,0.012871501955865346,-0.04080582150183743,0.008653155882367775,0.3138,False,10000,12,16100
probe,missense_variant,255,511,-0.029010696855845453,0.013603661262382088,-0.05646854030968996,-0.002981502014109037,0.0328,True,10000,12,5800
probe,splicing,255,511,-0.029115701065584254,0.01635821554137741,-0.05732974826841307,0.005983165115144666,0.1038,False,10000,12,3190
probe,synonymous_variant,255,511,-0.006071521801811974,0.05053709118655805,-0.09918610239525012,0.10041622244349445,0.8984,False,10000,10,460
probe,tss_proximal,255,511,0.07459596163926918,0.029238976150549875,0.007588001715094223,0.12138295189601485,0.0154,True,10000,12,2050
probe,5_prime_UTR_variant,255,511,-0.0035864328057371164,0.04056372622968522,-0.09696713199672514,0.06520606968003294,0.846,False,10000,11,2100
probe,3_prime_UTR_variant,255,511,-0.048763667840996894,0.03465428574614175,-0.11671339890265088,0.01659831964824945,0.1554,False,10000,10,770
probe,distal,255,511,-0.09452644146793415,0.04015826697553903,-0.2016506683532129,-0.048008409987977875,0.0001,True,10000,12,580
probe,non_coding_transcript_exon_variant,255,511,0.03702976327318114,0.07050206302415575,-0.04771058519994108,0.22746578412944085,0.506,False,10000,12,1150
