protocol,subset,baseline_context_bp,extension_context_bp,delta_extension_minus_baseline,se,ci_low,ci_high,p_two_sided,significant_0_05,n_bootstrap_valid,n_clusters,n_rows
zero-shot,_macro_avg_,511,1023,-0.3060239800744159,0.015350629440459009,-0.33587292673728936,-0.2762155898518895,0.0001,True,10000,1610,16100
zero-shot,missense_variant,511,1023,-0.3313391881594028,0.01950581692261359,-0.3714978071399763,-0.29499194013870417,0.0001,True,10000,580,5800
zero-shot,splicing,511,1023,-0.3542570255087669,0.028323292773242834,-0.41342924105313916,-0.30349114099837504,0.0001,True,10000,319,3190
zero-shot,synonymous_variant,511,1023,-0.29827936547550654,0.06473710767692924,-0.42883529962906797,-0.17586705251638216,0.0001,True,10000,46,460
zero-shot,tss_proximal,511,1023,-0.19972555531675928,0.032165593689395866,-0.2666549914016476,-0.14100857537235809,0.0001,True,10000,205,2050
zero-shot,5_prime_UTR_variant,511,1023,-0.3381482534658442,0.03328636408018545,-0.4013983178284452,-0.27101643781491247,0.0001,True,10000,210,2100
zero-shot,3_prime_UTR_variant,511,1023,-0.35026148036775495,0.052480623375435236,-0.45130641402679966,-0.24473312213171994,0.0001,True,10000,77,770
zero-shot,distal,511,1023,-0.21018273413727678,0.05950438458083196,-0.32202880771590287,-0.0901042087644263,0.0008,True,10000,58,580
zero-shot,non_coding_transcript_exon_variant,511,1023,-0.36599823816401555,0.03694447076970119,-0.4414831175940427,-0.2960042723946175,0.0001,True,10000,115,1150
probe,_macro_avg_,511,1023,-0.2993115764375644,0.030834143951637236,-0.35251662961260877,-0.23042035866363839,0.0001,True,10000,12,16100
probe,missense_variant,511,1023,-0.34065068751917793,0.01841475695370852,-0.3756719677679658,-0.3040541706833237,0.0001,True,10000,12,5800
probe,splicing,511,1023,-0.35977726862020787,0.03709587573666533,-0.43586976242820524,-0.2901340582664759,0.0001,True,10000,12,3190
probe,synonymous_variant,511,1023,-0.2818685334637645,0.06749868899601448,-0.4213166934004042,-0.15794455829076362,0.0001,True,10000,10,460
probe,tss_proximal,511,1023,-0.28460190612792063,0.07107212366674143,-0.43620397723073256,-0.16824960317122792,0.0001,True,10000,12,2050
probe,5_prime_UTR_variant,511,1023,-0.2685308140708216,0.11468751397016118,-0.5004835269140162,-0.0857822500871667,0.0001,True,10000,11,2100
probe,3_prime_UTR_variant,511,1023,-0.2854102760231024,0.062296904387450745,-0.37373910921301273,-0.13143746690347188,0.0004,True,10000,10,770
probe,distal,511,1023,-0.2463222703615,0.0996384974599574,-0.3802888644096294,0.01688519713109984,0.0688,False,10000,12,580
probe,non_coding_transcript_exon_variant,511,1023,-0.3273308553140204,0.06708595591340459,-0.42271267512964555,-0.13734813346837738,0.0001,True,10000,12,1150
