readout,n_targets,nucleotide_ce,nucleotide_accuracy,full_vocab_ce,full_vocab_accuracy,optimizer_step
source_causal_adapter_disabled_step0,640,1.050794524736966,0.50625,1.050806405082767,0.50625,0
lora_full_step0000,640,1.4256775886169635,0.271875,1.425823645829223,0.271875,0
lora_full_step0025,640,1.4257010243833066,0.2734375,1.4258450900553725,0.2734375,25
lora_full_step0050,640,1.4258013011072763,0.271875,1.42593736454146,0.271875,50
lora_full_step0100,640,1.425607866270002,0.2765625,1.425704902014695,0.2765625,100
lora_full_step0200,640,1.4239836410619318,0.275,1.4240138844819739,0.275,200
lora_full_step0300,640,1.420091521157883,0.2671875,1.420102688134648,0.2671875,300
lora_full_step0400,640,1.4161973607493565,0.2765625,1.4162049039732665,0.2765625,400
lora_full_step0500,640,1.4151834456482901,0.278125,1.415190056967549,0.278125,500
lora_full_step0600,640,1.4153311488218605,0.284375,1.4153373102657496,0.284375,600
lora_full_step0700,640,1.4032503087539225,0.2875,1.4032567081507294,0.2875,700
lora_full_step0800,640,1.380028380244039,0.2984375,1.3800352634862065,0.2984375,800
lora_full_step0900,640,1.368412910727784,0.3109375,1.368419339787215,0.3109375,900
lora_full_step1000,640,1.3655851084506139,0.31875,1.36559168479871,0.31875,1000
