candidate,baseline,n_targets,nucleotide_ce_delta,nucleotide_ce_delta_ci95_low,nucleotide_ce_delta_ci95_high,nucleotide_accuracy_delta,nucleotide_accuracy_delta_ci95_low,nucleotide_accuracy_delta_ci95_high,optimizer_step
lora_full_step0000,source_causal_adapter_disabled_step0,640,0.37488306387999726,0.322212151749128,0.4313551506175804,-0.234375,-0.2828125,-0.1859375,0
lora_full_step0025,source_causal_adapter_disabled_step0,640,0.3749064996463403,0.3222581760765854,0.4313520016739289,-0.2328125,-0.28125,-0.1843359375000002,25
lora_full_step0050,source_causal_adapter_disabled_step0,640,0.37500677637031005,0.32240920242085397,0.43136434045472694,-0.234375,-0.2828125,-0.184375,50
lora_full_step0100,source_causal_adapter_disabled_step0,640,0.3748133415330358,0.3222022803278196,0.4314499124920417,-0.2296875,-0.278125,-0.18125,100
lora_full_step0200,source_causal_adapter_disabled_step0,640,0.37318911632496565,0.3208663570014881,0.429306086322108,-0.23125,-0.27816406250000003,-0.1828125,200
lora_full_step0300,source_causal_adapter_disabled_step0,640,0.3692969964209169,0.31684692419904875,0.4249009442722353,-0.2390625,-0.28597656250000003,-0.190625,300
lora_full_step0400,source_causal_adapter_disabled_step0,640,0.36540283601239026,0.3136491814223882,0.42062543763826965,-0.2296875,-0.278125,-0.18125,400
lora_full_step0500,source_causal_adapter_disabled_step0,640,0.364388920911324,0.3121626731460708,0.41940313870165935,-0.228125,-0.2766015625,-0.1796875,500
lora_full_step0600,source_causal_adapter_disabled_step0,640,0.36453662408489435,0.3125962925334614,0.41912875429894936,-0.221875,-0.271875,-0.1734375,600
lora_full_step0700,source_causal_adapter_disabled_step0,640,0.3524557840169564,0.30089395398283386,0.4066262567560818,-0.21875,-0.2671875,-0.1703125,700
lora_full_step0800,source_causal_adapter_disabled_step0,640,0.3292338555070728,0.2808751774438269,0.380620450796,-0.2078125,-0.25625,-0.1609375,800
lora_full_step0900,source_causal_adapter_disabled_step0,640,0.3176183859908178,0.27054327754270957,0.3681156747727209,-0.1953125,-0.2421875,-0.1515234375000002,900
lora_full_step1000,source_causal_adapter_disabled_step0,640,0.3147905837136477,0.2675381737805071,0.3648440461511097,-0.1875,-0.2359375,-0.1421875,1000
