step,train_loss,pre_clip_gradient_norm,clipped,learning_rate,attention_future_edge_probability
0,1.509824275970459,0.46252357959747314,0,0.0,0.0
1,1.507637858390808,0.4260094165802002,0,1.0000000000000001e-07,3.804337414651388e-05
2,1.4746675491333008,0.4424022138118744,0,2.0000000000000002e-07,7.608674829302776e-05
3,1.5067863464355469,0.4274677038192749,0,3.0000000000000004e-07,0.00011413012243954164
4,1.5267128944396973,0.4515424072742462,0,4.0000000000000003e-07,0.00015217349658605553
5,1.487684965133667,0.4579077959060669,0,5.000000000000001e-07,0.0001902168707325694
6,1.5458519458770752,0.48801061511039734,0,6.000000000000001e-07,0.00022826024487908328
7,1.520827054977417,0.5093840956687927,0,7.000000000000001e-07,0.0002663036190255972
8,1.4941885471343994,0.4949418306350708,0,8.000000000000001e-07,0.00030434699317211106
9,1.489073395729065,0.4353204369544983,0,9.000000000000001e-07,0.0003423903673186249
10,1.3981797695159912,0.4764462411403656,0,1.0000000000000002e-06,0.0003804337414651388
11,1.482374906539917,0.42381083965301514,0,1.1e-06,0.0004184771156116527
12,1.469208836555481,0.45586249232292175,0,1.2000000000000002e-06,0.00045652048975816656
13,1.5214271545410156,0.4639950692653656,0,1.3e-06,0.0004945638639046805
14,1.506618618965149,0.5243781805038452,0,1.4000000000000001e-06,0.0005326072380511944
15,1.516438603401184,0.48589032888412476,0,1.5e-06,0.0005706506121977081
16,1.4994641542434692,0.48194706439971924,0,1.6000000000000001e-06,0.0006086939863442221
17,1.5005747079849243,0.5018018484115601,0,1.7000000000000002e-06,0.000646737360490736
18,1.5404834747314453,0.5221028327941895,0,1.8000000000000001e-06,0.0006847807346372498
19,1.5252183675765991,0.5068514347076416,0,1.9000000000000002e-06,0.0007228241087837637
20,1.490922451019287,0.4856678247451782,0,2.0000000000000003e-06,0.0007608674829302776
21,1.5346004962921143,0.5318998694419861,0,2.1000000000000002e-06,0.0007989108570767915
22,1.5313620567321777,0.4716649353504181,0,2.2e-06,0.0008369542312233054
23,1.4871174097061157,0.49455052614212036,0,2.3000000000000004e-06,0.0008749976053698192
24,1.5064163208007812,0.5546460747718811,0,2.4000000000000003e-06,0.0009130409795163331
25,1.4831695556640625,0.5116709470748901,0,2.5e-06,0.000951084353662847
26,1.5073758363723755,0.5015796422958374,0,2.6e-06,0.000989127727809361
27,1.5753285884857178,0.547817051410675,0,2.7000000000000004e-06,0.0010271711019558748
28,1.5627425909042358,0.4864776134490967,0,2.8000000000000003e-06,0.0010652144761023887
29,1.5038762092590332,0.5119333267211914,0,2.9e-06,0.0011032578502489024
30,1.5253922939300537,0.5241524577140808,0,3e-06,0.0011413012243954163
31,1.589207410812378,0.5087109804153442,0,3.1000000000000004e-06,0.0011793445985419304
32,1.5272574424743652,0.5715829730033875,0,3.2000000000000003e-06,0.0012173879726884442
33,1.5307049751281738,0.5330381393432617,0,3.3000000000000006e-06,0.001255431346834958
34,1.4905787706375122,0.5572242736816406,0,3.4000000000000005e-06,0.001293474720981472
35,1.5328192710876465,0.57166987657547,0,3.5e-06,0.0013315180951279856
36,1.5079443454742432,0.5390588045120239,0,3.6000000000000003e-06,0.0013695614692744995
37,1.455775499343872,0.5568844676017761,0,3.7e-06,0.0014076048434210136
38,1.4943974018096924,0.5466303825378418,0,3.8000000000000005e-06,0.0014456482175675275
39,1.5184202194213867,0.5480194687843323,0,3.900000000000001e-06,0.0014836915917140414
40,1.5586851835250854,0.576662003993988,0,4.000000000000001e-06,0.0015217349658605552
41,1.5012712478637695,0.5902511477470398,0,4.1e-06,0.0015597783400070689
42,1.5539450645446777,0.54088294506073,0,4.2000000000000004e-06,0.001597821714153583
43,1.4367220401763916,0.553644597530365,0,4.3e-06,0.0016358650883000969
44,1.5208485126495361,0.6079697012901306,0,4.4e-06,0.0016739084624466107
45,1.4790046215057373,0.5577225685119629,0,4.5e-06,0.0017119518365931246
46,1.5534789562225342,0.581160843372345,0,4.600000000000001e-06,0.0017499952107396385
47,1.563265323638916,0.5736737251281738,0,4.7e-06,0.0017880385848861521
48,1.5811371803283691,0.6940553188323975,0,4.800000000000001e-06,0.0018260819590326662
49,1.5281195640563965,0.6065161228179932,0,4.9000000000000005e-06,0.00186412533317918
50,1.4942920207977295,0.6170158982276917,0,5e-06,0.001902168707325694
51,1.464456558227539,0.5666871070861816,0,5.1e-06,0.0019402120814722079
52,1.5061779022216797,0.6240917444229126,0,5.2e-06,0.001978255455618722
53,1.4403775930404663,0.505320131778717,0,5.300000000000001e-06,0.002016298829765236
54,1.5025300979614258,0.5909512639045715,0,5.400000000000001e-06,0.0020543422039117497
55,1.4472522735595703,0.5741109251976013,0,5.500000000000001e-06,0.0020923855780582636
56,1.4993910789489746,0.5951263904571533,0,5.600000000000001e-06,0.0021304289522047774
57,1.5297069549560547,0.5947543978691101,0,5.7e-06,0.002168472326351291
58,1.4815616607666016,0.5978993773460388,0,5.8e-06,0.0022065157004978048
59,1.4759938716888428,0.5565862059593201,0,5.9e-06,0.0022445590746443186
60,1.4554433822631836,0.5017870664596558,0,6e-06,0.0022826024487908325
61,1.456399917602539,0.5180392265319824,0,6.1e-06,0.0023206458229373464
62,1.445483684539795,0.5137865543365479,0,6.200000000000001e-06,0.0023586891970838607
63,1.4705489873886108,0.5085002183914185,0,6.300000000000001e-06,0.0023967325712303746
64,1.424591302871704,0.5100303888320923,0,6.4000000000000006e-06,0.0024347759453768885
65,1.471426248550415,0.47992900013923645,0,6.5000000000000004e-06,0.0024728193195234023
66,1.433837652206421,0.47814393043518066,0,6.600000000000001e-06,0.002510862693669916
67,1.3630529642105103,0.4456658661365509,0,6.700000000000001e-06,0.00254890606781643
68,1.4266784191131592,0.42916983366012573,0,6.800000000000001e-06,0.002586949441962944
69,1.4444493055343628,0.4597816467285156,0,6.9e-06,0.0026249928161094574
70,1.399210810661316,0.3793632984161377,0,7e-06,0.0026630361902559713
71,1.389762282371521,0.43902814388275146,0,7.100000000000001e-06,0.002701079564402485
72,1.4277033805847168,0.40124082565307617,0,7.2000000000000005e-06,0.002739122938548999
73,1.4561054706573486,0.43968942761421204,0,7.3e-06,0.0027771663126955133
74,1.3994436264038086,0.3523959219455719,0,7.4e-06,0.002815209686842027
75,1.4269769191741943,0.3698720335960388,0,7.500000000000001e-06,0.002853253060988541
76,1.407128095626831,0.38793936371803284,0,7.600000000000001e-06,0.002891296435135055
77,1.4325894117355347,0.3741006851196289,0,7.7e-06,0.002929339809281569
78,1.3866633176803589,0.2946911156177521,0,7.800000000000002e-06,0.0029673831834280827
79,1.3909666538238525,0.3320960998535156,0,7.9e-06,0.0030054265575745966
