optimizer_step,delta,se,ci_low,ci_high,n_subsets,n_rows
0,0.0,0.0,0.0,0.0,8,16100
100,0.00651484711754232,0.003736705997043176,-0.0008090966366623049,0.013838790871746946,8,16100
200,0.005412854542010008,0.0036846040055291667,-0.0018089693088271588,0.012634678392847175,8,16100
300,0.005100747476889014,0.00350382543858881,-0.0017667503827450545,0.011968245336523083,8,16100
400,0.003959544819434892,0.00332490102765396,-0.00255726119476687,0.010476350833636655,8,16100
500,0.0013731458111282298,0.0030900074752891467,-0.004683268840438497,0.007429560462694957,8,16100
600,0.0017048714818501173,0.0035178129451455416,-0.005190041890635144,0.00859978485433538,8,16100
700,0.0009854277080555748,0.0034045703546969406,-0.0056875301871504285,0.007658385603261578,8,16100
800,0.001623962603267073,0.003637949620712108,-0.0055064186533286584,0.008754343859862804,8,16100
900,0.0007922036750599628,0.003509804306393554,-0.0060870127654714026,0.007671420115591328,8,16100
1000,0.0031498641308393815,0.003329936270413499,-0.003376810959171076,0.00967653922084984,8,16100
