candidate,baseline,n_targets,nucleotide_ce_delta,nucleotide_ce_delta_ci95_low,nucleotide_ce_delta_ci95_high,nucleotide_accuracy_delta,nucleotide_accuracy_delta_ci95_low,nucleotide_accuracy_delta_ci95_high,optimizer_step
lora_full_step0000,source_causal_adapter_disabled_step0,640,0.3364537816997199,0.2797852099555121,0.38896832269627907,-0.1765625,-0.2234375,-0.1296875,0
lora_full_step0025,source_causal_adapter_disabled_step0,640,0.3242141042872845,0.2695510034453992,0.37567734223425076,-0.1671875,-0.2140625,-0.1203125,25
lora_full_step0050,source_causal_adapter_disabled_step0,640,0.2903439879919915,0.2412833077738344,0.3378808134009921,-0.1609375,-0.20625,-0.1125,50
lora_full_step0100,source_causal_adapter_disabled_step0,640,0.26092304545823025,0.21477848977540476,0.3064061493708811,-0.1234375,-0.1656640625,-0.078125,100
lora_full_step0200,source_causal_adapter_disabled_step0,640,0.24073636713806082,0.19455969430346498,0.2865282352037684,-0.0984375,-0.1390625,-0.05777343750000022,200
lora_full_step0300,source_causal_adapter_disabled_step0,640,0.22874297760795342,0.18301300046660005,0.27515918274874474,-0.0984375,-0.140625,-0.0546875,300
lora_full_step0400,source_causal_adapter_disabled_step0,640,0.2258546423669486,0.17797547501683766,0.27309560143698264,-0.0859375,-0.1296875,-0.0421875,400
lora_full_step0500,source_causal_adapter_disabled_step0,640,0.22594663179847885,0.17963437393404888,0.2730148503126951,-0.0890625,-0.1328515625,-0.04375,500
lora_full_step0600,source_causal_adapter_disabled_step0,640,0.22460791489943405,0.1774776862909994,0.2716061438528561,-0.0921875,-0.1375,-0.0484375,600
lora_full_step0700,source_causal_adapter_disabled_step0,640,0.23194538196917164,0.1839766662943009,0.2782030370286623,-0.09375,-0.140625,-0.046875,700
lora_full_step0800,source_causal_adapter_disabled_step0,640,0.22487779788575607,0.17761010713768427,0.2720051030681759,-0.0828125,-0.128125,-0.040625,800
lora_full_step0900,source_causal_adapter_disabled_step0,640,0.2221121378279804,0.1757557313726102,0.26839987545240074,-0.09375,-0.1390625,-0.0484375,900
lora_full_step1000,source_causal_adapter_disabled_step0,640,0.22311918998971123,0.17683740087588715,0.26929158892287547,-0.0953125,-0.1421875,-0.05,1000
