step,train_loss,pre_clip_gradient_norm,clipped,learning_rate,attention_future_edge_probability
0,1.401249885559082,0.07224183529615402,0,0.0,1.0
1,1.3786348104476929,0.07598461955785751,0,5.000000000000001e-07,1.0
2,1.373042345046997,0.06574924290180206,0,1.0000000000000002e-06,1.0
3,1.3841387033462524,0.06710568070411682,0,1.5e-06,1.0
4,1.3815498352050781,0.06546410173177719,0,2.0000000000000003e-06,1.0
5,1.389477252960205,0.06740871071815491,0,2.5e-06,1.0
6,1.382024884223938,0.07173483818769455,0,3e-06,1.0
7,1.3909729719161987,0.0665188804268837,0,3.5000000000000004e-06,1.0
8,1.3867911100387573,0.07395783811807632,0,4.000000000000001e-06,1.0
9,1.4050500392913818,0.07759873569011688,0,4.5e-06,1.0
10,1.3780477046966553,0.06942757964134216,0,5e-06,1.0
11,1.3693684339523315,0.0673338919878006,0,5.500000000000001e-06,1.0
12,1.3978092670440674,0.07467544078826904,0,6e-06,1.0
13,1.40217125415802,0.0855666771531105,0,6.5000000000000004e-06,1.0
14,1.4052250385284424,0.09070973098278046,0,7.000000000000001e-06,1.0
15,1.3863983154296875,0.08224546164274216,0,7.5e-06,1.0
16,1.3859320878982544,0.07520323246717453,0,8.000000000000001e-06,1.0
17,1.378612995147705,0.06987682729959488,0,8.500000000000002e-06,1.0
18,1.383305311203003,0.06380681693553925,0,9e-06,1.0
19,1.3825604915618896,0.07700888812541962,0,9.5e-06,1.0
20,1.408403754234314,0.07875552028417587,0,1e-05,1.0
21,1.3782027959823608,0.08174164593219757,0,1.05e-05,1.0
22,1.3607664108276367,0.06434756517410278,0,1.1000000000000001e-05,1.0
23,1.3795987367630005,0.06959749758243561,0,1.1500000000000002e-05,1.0
24,1.3950663805007935,0.09016972780227661,0,1.2e-05,1.0
25,1.3628723621368408,0.07499737292528152,0,1.25e-05,1.0
26,1.3718068599700928,0.08039011061191559,0,1.3000000000000001e-05,1.0
27,1.3747807741165161,0.07823023945093155,0,1.3500000000000001e-05,1.0
28,1.3779195547103882,0.08397547900676727,0,1.4000000000000001e-05,1.0
29,1.389762043952942,0.09515072405338287,0,1.45e-05,1.0
30,1.3697525262832642,0.06730687618255615,0,1.5e-05,1.0
31,1.3689607381820679,0.07116620242595673,0,1.55e-05,1.0
32,1.3791862726211548,0.08314873278141022,0,1.6000000000000003e-05,1.0
33,1.3877952098846436,0.09831226617097855,0,1.65e-05,1.0
34,1.382542371749878,0.07818786054849625,0,1.7000000000000003e-05,1.0
35,1.36221444606781,0.06975322961807251,0,1.75e-05,1.0
