step,train_loss,pre_clip_gradient_norm,clipped,learning_rate
0,0.9010502099990845,0.6816308498382568,0,0.0
1,0.8942669630050659,0.63209468126297,0,1.0000000000000001e-07
2,0.9227314591407776,0.5832810997962952,0,2.0000000000000002e-07
3,0.849714994430542,0.7201635241508484,0,3.0000000000000004e-07
4,0.8677880167961121,0.6351262927055359,0,4.0000000000000003e-07
5,0.875308096408844,0.5953055620193481,0,5.000000000000001e-07
6,0.8911841511726379,0.6275927424430847,0,6.000000000000001e-07
7,0.8433998823165894,0.6800031065940857,0,7.000000000000001e-07
8,0.9048299789428711,0.576591432094574,0,8.000000000000001e-07
9,0.8880253434181213,0.6494057774543762,0,9.000000000000001e-07
10,0.792614758014679,0.561961829662323,0,1.0000000000000002e-06
11,0.8650519847869873,0.6256179809570312,0,1.1e-06
12,0.858445405960083,0.6433819532394409,0,1.2000000000000002e-06
13,0.8911877870559692,0.6341633796691895,0,1.3e-06
14,0.8891587853431702,0.6668822765350342,0,1.4000000000000001e-06
15,0.8836182355880737,0.6378435492515564,0,1.5e-06
16,0.847151517868042,0.7424055337905884,0,1.6000000000000001e-06
17,0.8936245441436768,0.677384614944458,0,1.7000000000000002e-06
18,0.8779290914535522,0.6293189525604248,0,1.8000000000000001e-06
19,0.941889762878418,0.7240070104598999,0,1.9000000000000002e-06
20,0.87796950340271,0.5894320607185364,0,2.0000000000000003e-06
21,0.9003615379333496,0.5400619506835938,0,2.1000000000000002e-06
22,0.8611071109771729,0.6367077827453613,0,2.2e-06
23,0.8895233869552612,0.7007630467414856,0,2.3000000000000004e-06
24,0.8523179292678833,0.6656258702278137,0,2.4000000000000003e-06
25,0.8377928733825684,0.665391743183136,0,2.5e-06
26,0.9351154565811157,0.636016845703125,0,2.6e-06
27,0.8965260982513428,0.629697322845459,0,2.7000000000000004e-06
28,0.88115394115448,0.6692614555358887,0,2.8000000000000003e-06
29,0.8589414954185486,0.6475976705551147,0,2.9e-06
30,0.8852928280830383,0.5923314690589905,0,3e-06
31,0.8738758563995361,0.6665370464324951,0,3.1000000000000004e-06
32,0.8967252969741821,0.6589398980140686,0,3.2000000000000003e-06
33,0.9100832343101501,0.6600064635276794,0,3.3000000000000006e-06
34,0.816167414188385,0.7187665700912476,0,3.4000000000000005e-06
35,0.8347002267837524,0.638178288936615,0,3.5e-06
36,0.8316687345504761,0.6205173134803772,0,3.6000000000000003e-06
37,0.9036452174186707,0.6641215085983276,0,3.7e-06
38,0.8578624129295349,0.6995247006416321,0,3.8000000000000005e-06
39,0.8666898012161255,0.6600127816200256,0,3.900000000000001e-06
40,0.8876184821128845,0.6122668981552124,0,4.000000000000001e-06
41,0.9293450713157654,0.5549503564834595,0,4.1e-06
42,0.8834974765777588,0.6110677719116211,0,4.2000000000000004e-06
43,0.8071938753128052,0.6170780062675476,0,4.3e-06
44,0.948176920413971,0.5994450449943542,0,4.4e-06
45,0.9161632061004639,0.6794283390045166,0,4.5e-06
46,0.9093055725097656,0.6829618215560913,0,4.600000000000001e-06
47,0.944005012512207,0.7098198533058167,0,4.7e-06
48,0.852024495601654,0.6552070379257202,0,4.800000000000001e-06
49,0.874340832233429,0.705146312713623,0,4.9000000000000005e-06
50,0.8519763946533203,0.7426267266273499,0,5e-06
51,0.9236429929733276,0.6032042503356934,0,5.1e-06
52,0.9005025625228882,0.7149300575256348,0,5.2e-06
53,0.9269300699234009,0.6199483275413513,0,5.300000000000001e-06
54,0.8848631978034973,0.7637106776237488,0,5.400000000000001e-06
55,0.8069298267364502,0.6500930786132812,0,5.500000000000001e-06
56,0.9551507234573364,0.610977828502655,0,5.600000000000001e-06
57,0.9075677394866943,0.7391407489776611,0,5.7e-06
58,0.7475101947784424,0.5866878628730774,0,5.8e-06
59,0.9238801598548889,0.6048165559768677,0,5.9e-06
60,0.9188140630722046,0.6431463956832886,0,6e-06
61,0.8673703074455261,0.6613697409629822,0,6.1e-06
62,0.8605732321739197,0.5838245153427124,0,6.200000000000001e-06
63,0.9321066737174988,0.671225905418396,0,6.300000000000001e-06
64,0.9201411604881287,0.6698033809661865,0,6.4000000000000006e-06
65,0.8890718221664429,0.6466266512870789,0,6.5000000000000004e-06
66,0.8674938082695007,0.5936575531959534,0,6.600000000000001e-06
67,0.8455069661140442,0.6528766751289368,0,6.700000000000001e-06
68,0.9191588759422302,0.638069212436676,0,6.800000000000001e-06
69,0.8336526155471802,0.6787714958190918,0,6.9e-06
70,0.8451215028762817,0.6229695677757263,0,7e-06
71,0.8218773603439331,0.6115813851356506,0,7.100000000000001e-06
72,0.8357812166213989,0.6299642324447632,0,7.2000000000000005e-06
73,0.8897566199302673,0.5208548903465271,0,7.3e-06
74,0.9098856449127197,0.586495578289032,0,7.4e-06
75,0.8562785387039185,0.7232488393783569,0,7.500000000000001e-06
76,0.9074941873550415,0.6281356811523438,0,7.600000000000001e-06
77,0.8769797086715698,0.6764529347419739,0,7.7e-06
78,0.864575207233429,0.6595629453659058,0,7.800000000000002e-06
79,0.8665777444839478,0.6287705898284912,0,7.9e-06
80,0.896022617816925,0.5593035817146301,0,8.000000000000001e-06
81,0.8527061939239502,0.6635915040969849,0,8.1e-06
82,0.8190586566925049,0.6893894076347351,0,8.2e-06
83,0.8517352342605591,0.6313080787658691,0,8.3e-06
84,0.8739683032035828,0.6423422694206238,0,8.400000000000001e-06
85,0.937967836856842,0.613124430179596,0,8.5e-06
86,0.878460168838501,0.8194054961204529,0,8.6e-06
