accession	download_uri	source_checksum_type	source_checksum	source_size_bytes
GCF_000001405.40	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_000001405.40.2bit	s3_etag	91ab9750fdbea35115614d37c2d5dbd2-115	960249166
GCF_000001635.27	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_000001635.27.2bit	s3_etag	5bb33b707a319182f7e36ad79cdbe95d-94	782948269
GCF_015220235.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_015220235.1.2bit	s3_etag	ce45d41cda86290fe3e1673cf099f844-112	934218361
GCF_015852505.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_015852505.1.2bit	s3_etag	2ef2f63f0978bcd7cf0db4c4904ab867-75	627397232
GCF_019393635.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_019393635.1.2bit	s3_etag	da54ccbcf51db38fa91f9d021f672516-119	993685978
GCF_020171115.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_020171115.1.2bit	s3_etag	a6900819527c03fa3dba23fee09ed5e8-94	781582269
GCF_024139225.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_024139225.1.2bit	s3_etag	421cba94153a588608ba45c42ec92964-87	726893728
GCF_024166365.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_024166365.1.2bit	s3_etag	db51e52df15c5c4c6de65adb18f69936-117	978173139
GCF_027409185.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_027409185.1.2bit	s3_etag	b167522e17495c0f73b887d1309426b8-99	826501977
GCF_027574615.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_027574615.1.2bit	s3_etag	358a92021b00ae67637fa6222c0ca958-70	585301228
GCF_027887165.2	s3://oa-bolinas/snakemake/analysis/linclust_conservation/inputs/genomes/v1/633235e43c64c1ad10a7507b44bf5403296627d1/e148100086879399eefbaf9f9c1a066911b9e2763feb49be2b2903bf36538f19/GCF_027887165.2.2bit	s3_etag	a6ab6c3ebb1b833f450c00be9c8bb908-128	1073355522
GCF_028372415.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_028372415.1.2bit	s3_etag	cf2d61507d661049c794479e6a022eb8-125	1041436408
GCF_030445035.2	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_030445035.2.2bit	s3_etag	53fb9f9bf4f108dabfda00d20ae91de2-127	1058208697
GCF_033115175.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_033115175.1.2bit	s3_etag	3881ca945be296d9dcc844fced7e71b4-101	838958417
GCF_037893015.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_037893015.1.2bit	s3_etag	7fe379adec6f769f881a7410f4de335e-132	1104503514
GCF_040802235.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_040802235.1.2bit	s3_etag	972c4ad3adf059af8db9e3ac547243ef-89	739003290
GCF_041296235.1	s3://oa-bolinas/snakemake/analysis/linclust_conservation/inputs/genomes/v1/cfa05bfc50be395010d55d7d30f2fc41c4bf28df/9a2dc618efd25d281db9b65ec397edf451cb471ce48bc5419ce2036bfb368af4/GCF_041296235.1.2bit	s3_etag	669b069b5455cb82440f43a2ba6bd685-97	811567905
GCF_050624435.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_050624435.1.2bit	s3_etag	a2c92d04c173a09f0b72f525de02b6a2-134	1120580788
GCF_902635505.1	s3://oa-bolinas/snakemake/training_dataset/dataset_creation/results/genome/GCF_902635505.1.2bit	s3_etag	22913f80ad2dda915b5efcdd77cbe1b8-113	942507571
