scope,method,auprc
cds,prevalence,0.45455451211498105
upstream,prevalence,0.19627610908517293
downstream,prevalence,0.16924405451486338
ncrna,prevalence,0.42881227056886334
enhancer,prevalence,0.4328580361655288
global,prevalence,0.3422862481674088
cds,loss_21b,0.5345721206209985
cds,loss_174b,0.6856508211925899
upstream,loss_21b,0.36010078692185743
upstream,loss_174b,0.4887585105609119
downstream,loss_21b,0.36154018664347043
downstream,loss_174b,0.5025951003373044
ncrna,loss_21b,0.6412268739504159
ncrna,loss_174b,0.6423660857530635
enhancer,loss_21b,0.5549454229836381
enhancer,loss_174b,0.6692752082406099
global,loss_21b,0.5017751303567859
global,loss_174b,0.6005365600537421
cds,loss_slope,0.6288952732848363
upstream,loss_slope,0.329944311346767
downstream,loss_slope,0.2960162168204003
ncrna,loss_slope,0.4098921812591206
enhancer,loss_slope,0.5417770360542663
global,loss_slope,0.4483709868406394
