scope,statistic,score_direction,auprc,prevalence,auprc_minus_prevalence,n_positions,n_conserved
cds,loss_slope,negative_ols_loss_slope,0.6288952732848363,0.45455451211498105,0.17434076116985525,2830380,1286562
upstream,loss_slope,negative_ols_loss_slope,0.329944311346767,0.19627610908517293,0.13366820226159407,2694225,528812
downstream,loss_slope,negative_ols_loss_slope,0.29601621682040036,0.16924405451486338,0.12677216230553698,2580067,436661
ncrna,loss_slope,negative_ols_loss_slope,0.4098921812591206,0.42881227056886334,-0.01892008930974276,2978835,1277361
enhancer,loss_slope,negative_ols_loss_slope,0.5417770360542663,0.4328580361655288,0.10891899988873749,2918525,1263307
global,loss_slope,negative_ols_loss_slope,0.4483709868406394,0.3422862481674088,0.1060847386732306,14002032,4792703
