group,n_positions,n_conserved,conservation_prevalence
high_to_high,5917305,1291721,0.21829549093717496
low_to_high,2053734,510891,0.2487620110491427
high_to_low,1396193,701955,0.5027635864096153
low_to_low,4634800,2288136,0.4936860274445499
