panel_order,benchmark,subset,arm,step,value,se,baseline,n_groups,n_rows,n_positive,n_accessions
0,Mendelian,Distal,Center 1 bp,1000,0.12173818100991447,0.022851194710017977,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,1500,0.12336017348500303,0.020163128176951532,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,2000,0.12190656116194762,0.01908620925268068,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,2500,0.1617094750261826,0.03088282770198902,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,3000,0.2124614674226652,0.04317134525507663,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,3500,0.27538984676316164,0.052724016861136445,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,4000,0.31567773826246975,0.05617712463554964,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,4500,0.3187069823252266,0.05687289371319761,0.1,58.0,580.0,,
0,Mendelian,Distal,Center 1 bp,4999,0.311819480436275,0.05495914545290528,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,1000,0.12192738514793597,0.022080841052851265,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,1500,0.1251608497045881,0.022712639171784437,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,2000,0.12060388884891048,0.019858091004624167,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,2500,0.18360176795492036,0.04270798475036609,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,3000,0.26969914632641506,0.0512549553911037,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,3500,0.31561651425530923,0.05397301980827836,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,4000,0.3026153638553404,0.05313553915827597,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,4500,0.3335917132667354,0.053722589614078414,0.1,58.0,580.0,,
0,Mendelian,Distal,Full window,4999,0.36749055818404885,0.05510653799709103,0.1,58.0,580.0,,
1,Complex traits,Distal,Center 1 bp,1000,0.09742570521072318,0.0038888632906844923,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,1500,0.10365967382958934,0.00479203311627614,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,2000,0.1028774651547219,0.004681829931780176,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,2500,0.10751412893451473,0.005894588944570496,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,3000,0.11306412782623139,0.006576902748762253,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,3500,0.11729912544203355,0.0077153437919662195,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,4000,0.11980115725475451,0.008196169796506508,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,4500,0.12020899696925999,0.008148279705086208,0.1,616.0,6160.0,,
1,Complex traits,Distal,Center 1 bp,4999,0.12201948000296652,0.008586185358377034,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,1000,0.10085814858561507,0.004219148917967946,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,1500,0.10306202385792056,0.004826118108938033,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,2000,0.10282088015462174,0.00458032713729722,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,2500,0.10562598610958596,0.005025343540145454,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,3000,0.11179667091080099,0.006920167314301812,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,3500,0.1107584706237192,0.006708429580099858,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,4000,0.1176579919217888,0.008112575115027937,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,4500,0.11711640389130913,0.00820767330970531,0.1,616.0,6160.0,,
1,Complex traits,Distal,Full window,4999,0.12054488032474917,0.008413989478626819,0.1,616.0,6160.0,,
