panel_order,benchmark,subset,arm,step,value,se,baseline,n_groups,n_rows,n_positive,n_accessions
0,Mendelian,Missense,Center 1 bp,1000,0.10773722962963497,0.005278670259388001,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,1500,0.12421942648819213,0.008227798839753483,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,2000,0.1676215318873373,0.012943610381686376,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,2500,0.25757245254970146,0.016919374439942604,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,3000,0.32785812702586387,0.018073031683248416,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,3500,0.35257671079334063,0.018271914352496543,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,4000,0.3540630909213802,0.018419724527070382,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,4500,0.3613748079793838,0.018498017849049635,0.1,580.0,5800.0,,
0,Mendelian,Missense,Center 1 bp,4999,0.3570604926802219,0.0179654003326071,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,1000,0.10580404872309737,0.005256303295892091,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,1500,0.13462852094261718,0.010356638505419739,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,2000,0.16720998160720063,0.012815484026744383,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,2500,0.26237473307523823,0.01731791229558465,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,3000,0.3184648234263927,0.01886896931388159,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,3500,0.3639815598518088,0.019574180378322464,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,4000,0.3587735967316772,0.019086745041963227,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,4500,0.36409260014871486,0.018412740547600007,0.1,580.0,5800.0,,
0,Mendelian,Missense,Full window,4999,0.3439345650245766,0.018254082092699596,0.1,580.0,5800.0,,
1,Mendelian,Splicing,Center 1 bp,1000,0.1509449864304769,0.012462806955630588,0.1,319.0,3190.0,,
