dataset,endpoint,candidate,baseline,delta,se,ci_low,ci_high,n_groups,n_rows
mendelian_traits,mendelian_consequence_macro,source_conditional_avg,source_clm_avg,-0.11007507841178629,0.012128367104818448,-0.13384667793723046,-0.08630347888634213,8,16100
mendelian_traits,mendelian_consequence_macro,source_two_pass_fwd,source_clm_avg,-0.11233201809592894,0.012327738514055888,-0.13649438558347848,-0.08816965060837939,8,16100
mendelian_traits,mendelian_consequence_macro,source_two_pass_symmetric,source_clm_avg,-0.11139049468561704,0.012175851311031775,-0.1352551632552393,-0.08752582611599477,8,16100
complex_traits,complex_global,source_conditional_avg,source_clm_avg,-0.008649942302694447,0.00416444377728422,-0.017210844753270775,-0.0007728592041679666,1163,11630
complex_traits,complex_global,source_two_pass_fwd,source_clm_avg,-0.007973796283871543,0.004242814348128799,-0.016511248515631183,-5.1261249640361574e-05,1163,11630
complex_traits,complex_global,source_two_pass_symmetric,source_clm_avg,-0.008198523609836167,0.004181209657485618,-0.016635369383783318,-0.0005002174146834865,1163,11630
sge,accession_consequence_macro,source_conditional_avg,source_clm_avg,-0.10536775916453231,0.009412348546313726,-0.12381596231530721,-0.0869195560137574,8,23501
sge,accession_consequence_macro,source_two_pass_fwd,source_clm_avg,-0.11124841187359905,0.009312275781820152,-0.12950047240596654,-0.09299635134123155,8,23501
sge,accession_consequence_macro,source_two_pass_symmetric,source_clm_avg,-0.10427943314429065,0.009425281972893934,-0.12275298581116276,-0.08580588047741855,8,23501
