dataset,readout,rows,seconds,variants_per_second,peak_cuda_allocated_bytes
mendelian_traits,source_clm_fwd,16140,68.39077472100001,235.99674175125355,34505337856
mendelian_traits,source_clm_rc,16140,63.271213526000025,255.09230976528676,34505337856
mendelian_traits,two_causal_passes,16140,82.06520188000002,196.67288485563884,26452574208
complex_traits,source_clm_fwd,11630,45.46954844499999,255.77557723203827,34505337856
complex_traits,source_clm_rc,11630,45.644363784999996,254.79597119112307,34505337856
complex_traits,two_causal_passes,11630,59.157414940999956,196.59412115284385,26452574208
sge,source_clm_fwd,23853,93.34472651800002,255.53666382428509,34505337856
sge,source_clm_rc,23853,93.61455965100004,254.80010896729343,34505337856
sge,two_causal_passes,23853,121.38600007299999,196.50536293851934,26452574208
