point_id,arm,plot_series,kind,step,objective,dataset,endpoint,orientation,auprc,se,n_rows
clm-replay-step0025,clm_continuation,Continued CLM replay,replay,25,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.3515595443153695,0.010876105563484128,8
clm-replay-step0050,clm_continuation,Continued CLM replay,replay,50,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3691812327890083,0.01618735803987699,16100
clm-replay-step0050,clm_continuation,Continued CLM replay,replay,50,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.39038544215656823,0.015988222740062386,16100
clm-replay-step0050,clm_continuation,Continued CLM replay,replay,50,clm,complex_traits,_global_,protocol_fwd,0.1295974925811696,0.004383321269120354,11630
clm-replay-step0050,clm_continuation,Continued CLM replay,replay,50,clm,complex_traits,_global_,protocol_fwd_rc,0.13618019135480933,0.0052114277186534694,11630
clm-replay-step0050,clm_continuation,Continued CLM replay,replay,50,clm,sge,accession_consequence_macro,protocol_fwd,0.32466519357885393,0.01053440235166171,8
clm-replay-step0050,clm_continuation,Continued CLM replay,replay,50,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.35628258539922425,0.010839046544022284,8
clm-replay-step0100,clm_continuation,Continued CLM replay,replay,100,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3573495659825831,0.015739040820628974,16100
clm-replay-step0100,clm_continuation,Continued CLM replay,replay,100,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.382406521842998,0.015585106651660465,16100
clm-replay-step0100,clm_continuation,Continued CLM replay,replay,100,clm,complex_traits,_global_,protocol_fwd,0.12147946021748804,0.003807623407053829,11630
clm-replay-step0100,clm_continuation,Continued CLM replay,replay,100,clm,complex_traits,_global_,protocol_fwd_rc,0.13111395351703345,0.00501223944913205,11630
clm-replay-step0100,clm_continuation,Continued CLM replay,replay,100,clm,sge,accession_consequence_macro,protocol_fwd,0.2988355596276049,0.010135514267418445,8
clm-replay-step0100,clm_continuation,Continued CLM replay,replay,100,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.31560837657651375,0.01028516463310357,8
clm-replay-step0200,clm_continuation,Continued CLM replay,replay,200,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3210798299400941,0.013699408400254017,16100
clm-replay-step0200,clm_continuation,Continued CLM replay,replay,200,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.3465105150845184,0.014391830023603416,16100
clm-replay-step0200,clm_continuation,Continued CLM replay,replay,200,clm,complex_traits,_global_,protocol_fwd,0.1194312160112192,0.0038487996575329096,11630
clm-replay-step0200,clm_continuation,Continued CLM replay,replay,200,clm,complex_traits,_global_,protocol_fwd_rc,0.12622186663930784,0.004919551905966931,11630
clm-replay-step0200,clm_continuation,Continued CLM replay,replay,200,clm,sge,accession_consequence_macro,protocol_fwd,0.27154528921073723,0.009577965394304128,8
clm-replay-step0200,clm_continuation,Continued CLM replay,replay,200,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.3180631720919245,0.010435780787396834,8
clm-replay-step0400,clm_continuation,Continued CLM replay,replay,400,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3114226644544693,0.013688489866734094,16100
clm-replay-step0400,clm_continuation,Continued CLM replay,replay,400,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.32686013178053336,0.012887330284589344,16100
clm-replay-step0400,clm_continuation,Continued CLM replay,replay,400,clm,complex_traits,_global_,protocol_fwd,0.11104821902667639,0.0033670068115044553,11630
clm-replay-step0400,clm_continuation,Continued CLM replay,replay,400,clm,complex_traits,_global_,protocol_fwd_rc,0.12090170332446233,0.004253087353618983,11630
clm-replay-step0400,clm_continuation,Continued CLM replay,replay,400,clm,sge,accession_consequence_macro,protocol_fwd,0.28068389896758533,0.00994018781808063,8
clm-replay-step0400,clm_continuation,Continued CLM replay,replay,400,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.308557014840234,0.010573896184564493,8
clm-original-step0400,clm_continuation,Continued CLM original,lightning,400,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3114226644544693,0.013688489866734094,16100
clm-original-step0400,clm_continuation,Continued CLM original,lightning,400,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.32686013178053336,0.012887330284589344,16100
clm-original-step0400,clm_continuation,Continued CLM original,lightning,400,clm,complex_traits,_global_,protocol_fwd,0.11104821902667639,0.0033670068115044553,11630
clm-original-step0400,clm_continuation,Continued CLM original,lightning,400,clm,complex_traits,_global_,protocol_fwd_rc,0.12090170332446233,0.004253087353618983,11630
clm-original-step0400,clm_continuation,Continued CLM original,lightning,400,clm,sge,accession_consequence_macro,protocol_fwd,0.28068389896758533,0.00994018781808063,8
clm-original-step0400,clm_continuation,Continued CLM original,lightning,400,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.308557014840234,0.010573896184564493,8
clm-original-step0800,clm_continuation,Continued CLM original,lightning,800,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.24520409077461391,0.010847680535261297,16100
clm-original-step0800,clm_continuation,Continued CLM original,lightning,800,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.26383533285888283,0.010815486799321051,16100
clm-original-step0800,clm_continuation,Continued CLM original,lightning,800,clm,complex_traits,_global_,protocol_fwd,0.11088943263160606,0.0036445622287042683,11630
clm-original-step0800,clm_continuation,Continued CLM original,lightning,800,clm,complex_traits,_global_,protocol_fwd_rc,0.1128860634306703,0.003917200819245849,11630
clm-original-step0800,clm_continuation,Continued CLM original,lightning,800,clm,sge,accession_consequence_macro,protocol_fwd,0.27076562541853494,0.009367822473909106,8
clm-original-step0800,clm_continuation,Continued CLM original,lightning,800,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.28477603076478725,0.009915593699379012,8
clm-original-step1000,clm_continuation,Continued CLM original,hf,1000,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.2730830624594819,0.013078224444663222,16100
clm-original-step1000,clm_continuation,Continued CLM original,hf,1000,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.306810839075092,0.01296143825237739,16100
clm-original-step1000,clm_continuation,Continued CLM original,hf,1000,clm,complex_traits,_global_,protocol_fwd,0.11275325088561575,0.003732113506820021,11630
clm-original-step1000,clm_continuation,Continued CLM original,hf,1000,clm,complex_traits,_global_,protocol_fwd_rc,0.1188432964325267,0.0047909665235236955,11630
clm-original-step1000,clm_continuation,Continued CLM original,hf,1000,clm,sge,accession_consequence_macro,protocol_fwd,0.28825187746555364,0.009928111031562858,8
clm-original-step1000,clm_continuation,Continued CLM original,hf,1000,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.3048194585625585,0.010217883652114452,8
transferred-step0000,full_attention_no_adaptation,Transferred MNTP,no_adaptation,0,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.10283778389690855,0.004582654493455439,16100
transferred-step0000,full_attention_no_adaptation,Transferred MNTP,no_adaptation,0,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.10133509528979794,0.004237080763007926,16100
transferred-step0000,full_attention_no_adaptation,Transferred MNTP,no_adaptation,0,mntp,complex_traits,_global_,protocol_fwd,0.10078525793318183,0.0029934563614121344,11630
transferred-step0000,full_attention_no_adaptation,Transferred MNTP,no_adaptation,0,mntp,complex_traits,_global_,protocol_fwd_rc,0.10009316996388035,0.0027678908677752564,11630
transferred-step0000,full_attention_no_adaptation,Transferred MNTP,no_adaptation,0,mntp,sge,accession_consequence_macro,protocol_fwd,0.14084290306709035,0.004606154291010552,8
transferred-step0000,full_attention_no_adaptation,Transferred MNTP,no_adaptation,0,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.14239917393168947,0.0048739185105647195,8
transferred-step0100,transferred_mntp,Transferred MNTP,lightning,100,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.10581766164834792,0.004852940019901369,16100
transferred-step0100,transferred_mntp,Transferred MNTP,lightning,100,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.10788224225245154,0.004328618903282966,16100
transferred-step0100,transferred_mntp,Transferred MNTP,lightning,100,mntp,complex_traits,_global_,protocol_fwd,0.10167105704608144,0.0027069139822991682,11630
transferred-step0100,transferred_mntp,Transferred MNTP,lightning,100,mntp,complex_traits,_global_,protocol_fwd_rc,0.10172552875397287,0.002795650063116828,11630
transferred-step0100,transferred_mntp,Transferred MNTP,lightning,100,mntp,sge,accession_consequence_macro,protocol_fwd,0.14688040931282365,0.004560754555578588,8
transferred-step0100,transferred_mntp,Transferred MNTP,lightning,100,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.14957460667741407,0.005059221197872429,8
transferred-step0200,transferred_mntp,Transferred MNTP,lightning,200,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11720612066165194,0.0060428066481477884,16100
transferred-step0200,transferred_mntp,Transferred MNTP,lightning,200,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11390968038658236,0.005158324615921432,16100
transferred-step0200,transferred_mntp,Transferred MNTP,lightning,200,mntp,complex_traits,_global_,protocol_fwd,0.10351040411312035,0.003065444916458664,11630
transferred-step0200,transferred_mntp,Transferred MNTP,lightning,200,mntp,complex_traits,_global_,protocol_fwd_rc,0.10088588999303003,0.0029001024773638064,11630
transferred-step0200,transferred_mntp,Transferred MNTP,lightning,200,mntp,sge,accession_consequence_macro,protocol_fwd,0.14834053893882468,0.005024657936989875,8
transferred-step0200,transferred_mntp,Transferred MNTP,lightning,200,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.14677703618820778,0.004678632347799657,8
transferred-step0300,transferred_mntp,Transferred MNTP,lightning,300,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11728454197713786,0.006121781111145944,16100
transferred-step0300,transferred_mntp,Transferred MNTP,lightning,300,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11518667177892164,0.006094613548703709,16100
transferred-step0300,transferred_mntp,Transferred MNTP,lightning,300,mntp,complex_traits,_global_,protocol_fwd,0.10079952951462198,0.002970232993056237,11630
transferred-step0300,transferred_mntp,Transferred MNTP,lightning,300,mntp,complex_traits,_global_,protocol_fwd_rc,0.0999481544289723,0.0028452199611525503,11630
transferred-step0300,transferred_mntp,Transferred MNTP,lightning,300,mntp,sge,accession_consequence_macro,protocol_fwd,0.147918712267834,0.004764912583882805,8
transferred-step0300,transferred_mntp,Transferred MNTP,lightning,300,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.1483739209560024,0.0048651763097295195,8
transferred-step0400,transferred_mntp,Transferred MNTP,lightning,400,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11133230857175722,0.0059210486312907444,16100
transferred-step0400,transferred_mntp,Transferred MNTP,lightning,400,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11401790481063916,0.006622779972360159,16100
transferred-step0400,transferred_mntp,Transferred MNTP,lightning,400,mntp,complex_traits,_global_,protocol_fwd,0.101699217409278,0.003255768771635625,11630
transferred-step0400,transferred_mntp,Transferred MNTP,lightning,400,mntp,complex_traits,_global_,protocol_fwd_rc,0.10160476466638929,0.0031256370789244006,11630
transferred-step0400,transferred_mntp,Transferred MNTP,lightning,400,mntp,sge,accession_consequence_macro,protocol_fwd,0.1399659935713431,0.004310401676812516,8
transferred-step0400,transferred_mntp,Transferred MNTP,lightning,400,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.1407161370018031,0.004451355901228933,8
transferred-step0500,transferred_mntp,Transferred MNTP,lightning,500,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11472557047066949,0.006606634128726677,16100
transferred-step0500,transferred_mntp,Transferred MNTP,lightning,500,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11454684221652829,0.00609841876308831,16100
transferred-step0500,transferred_mntp,Transferred MNTP,lightning,500,mntp,complex_traits,_global_,protocol_fwd,0.10035711971654873,0.003137216968425837,11630
transferred-step0500,transferred_mntp,Transferred MNTP,lightning,500,mntp,complex_traits,_global_,protocol_fwd_rc,0.10044100772482559,0.002988793966421555,11630
transferred-step0500,transferred_mntp,Transferred MNTP,lightning,500,mntp,sge,accession_consequence_macro,protocol_fwd,0.14256046926141605,0.004416401713366129,8
transferred-step0500,transferred_mntp,Transferred MNTP,lightning,500,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.1417962053969068,0.004498007745526228,8
