comparison,dataset,score,n_rows,max_abs_error,mean_abs_error,tolerance,passed
source_direct_vs_zero_update_save_reload,mendelian_traits,raw_llr_fwd,16140,0.0,0.0,0.002,True
source_direct_vs_zero_update_save_reload,mendelian_traits,raw_llr_rc,16140,0.0,0.0,0.002,True
source_direct_vs_zero_update_save_reload,complex_traits,raw_llr_fwd,11630,0.0,0.0,0.002,True
source_direct_vs_zero_update_save_reload,complex_traits,raw_llr_rc,11630,0.0,0.0,0.002,True
source_direct_vs_zero_update_save_reload,sge,raw_llr_fwd,23853,0.0,0.0,0.002,True
source_direct_vs_zero_update_save_reload,sge,raw_llr_rc,23853,0.0,0.0,0.002,True
replayed_step400_vs_original_step400,mendelian_traits,raw_llr_fwd,16140,0.0,0.0,0.002,True
replayed_step400_vs_original_step400,mendelian_traits,raw_llr_rc,16140,0.0,0.0,0.002,True
replayed_step400_vs_original_step400,complex_traits,raw_llr_fwd,11630,0.0,0.0,0.002,True
replayed_step400_vs_original_step400,complex_traits,raw_llr_rc,11630,0.0,0.0,0.002,True
replayed_step400_vs_original_step400,sge,raw_llr_fwd,23853,0.0,0.0,0.002,True
replayed_step400_vs_original_step400,sge,raw_llr_rc,23853,0.0,0.0,0.002,True
source-clm-direct-step0000_vs_original_evaluation,mendelian_traits,fwd,16140,2.505523681640625,0.0951683297753334,0.002,False
source-clm-direct-step0000_vs_original_evaluation,mendelian_traits,rc,16140,3.312164306640625,0.09763038158416748,0.002,False
source-clm-direct-step0000_vs_original_evaluation,complex_traits,fwd,11630,2.917205810546875,0.07057196646928787,0.002,False
source-clm-direct-step0000_vs_original_evaluation,complex_traits,rc,11630,1.58526611328125,0.07121982425451279,0.002,False
source-clm-direct-step0000_vs_original_evaluation,sge,fwd,23853,2.607147216796875,0.1328900158405304,0.002,False
source-clm-direct-step0000_vs_original_evaluation,sge,rc,23853,2.910980224609375,0.1351565718650818,0.002,False
transferred-step0000_vs_original_evaluation,mendelian_traits,fwd,16140,0.0380859375,0.003990672528743744,0.002,False
transferred-step0000_vs_original_evaluation,mendelian_traits,rc,16140,0.02734386920928955,0.0040133800357580185,0.002,False
transferred-step0000_vs_original_evaluation,complex_traits,fwd,11630,0.03125,0.004151077009737492,0.002,False
transferred-step0000_vs_original_evaluation,complex_traits,rc,11630,0.047119140625,0.004256811924278736,0.002,False
transferred-step0000_vs_original_evaluation,sge,fwd,23853,0.025390625,0.004361523315310478,0.002,False
transferred-step0000_vs_original_evaluation,sge,rc,23853,0.031494140625,0.004326162859797478,0.002,False
transferred-step1000_vs_original_evaluation,mendelian_traits,fwd,16140,0.0234375,0.0017702849581837654,0.002,False
transferred-step1000_vs_original_evaluation,mendelian_traits,rc,16140,0.0234375,0.001802744809538126,0.002,False
transferred-step1000_vs_original_evaluation,complex_traits,fwd,11630,0.0234375,0.0016722556902095675,0.002,False
