arm,wandb_run_id,n_steps,elapsed_seconds,maximum_pre_clip_gradient_norm,median_pre_clip_gradient_norm,p95_pre_clip_gradient_norm,clipped_steps,clip_fraction,maximum_train_loss,largest_positive_loss_delta,post_warmup_spike_threshold,post_warmup_spike_count,maximum_wandb_loss_abs_error
transferred_mntp,6iqcmdm7,400,218.962015914,60.517154693603516,1.2587124109268188,11.114987134933472,275,0.6875,1.4768234491348267,0.17020201683044434,1.362143278670311,0,0.0
scratch_mntp,4nstge1d,400,260.78548615500006,84.9994125366211,2.1175161600112915,28.263150978088284,296,0.74,3.552542209625244,0.761996865272522,1.4114124860525132,0,0.0
clm_continuation,yod8l3mb,400,215.162494885,1.2633329629898071,0.7906598448753357,1.0021544814109802,23,0.0575,1.0985913276672363,0.17233169078826904,1.2623446944713592,0,0.0
