condition	subset	label	n_variants	mean_delta	median_delta	std_delta	iqr_delta	median_abs_delta	p90_abs_delta
correct	3_prime_UTR_variant	False	693	-3.18373092497238e-05	-8.082389831542969e-05	0.0022152458163484452	0.003035306930541992	0.0015251636505126953	0.003553247451782227
correct	3_prime_UTR_variant	True	77	0.0007103170667375837	0.00011968612670898438	0.0069734589578175086	0.0039348602294921875	0.0018222332000732422	0.004739379882812501
correct	5_prime_UTR_variant	False	1890	-1.9948570816605178e-05	-9.930133819580078e-05	0.0020387709059485172	0.0027356743812561035	0.0013699531555175781	0.003243517875671387
correct	5_prime_UTR_variant	True	210	-1.1056945437476748e-05	-0.00024640560150146484	0.0042928727443714105	0.00352400541305542	0.0017876625061035156	0.0044140577316284174
correct	distal	False	522	-8.089240940137841e-05	-2.1457672119140625e-05	0.0019760848376249108	0.002498626708984375	0.0012482404708862305	0.003246068954467775
correct	distal	True	58	5.9949940648572195e-05	0.00013971328735351562	0.002102846230834616	0.0029020309448242188	0.0013843774795532227	0.0036591291427612313
correct	missense_variant	False	5220	-0.00010576371488900021	-9.28640365600586e-05	0.002408713405052015	0.003018319606781006	0.0015017986297607422	0.003741025924682618
correct	missense_variant	True	580	-0.0008355019421413027	-0.000766754150390625	0.0038585514323698786	0.0038514137268066406	0.0018776655197143555	0.005363130569458009
correct	non_coding_transcript_exon_variant	False	1035	3.196018329565076e-05	7.271766662597656e-05	0.0021277189056127855	0.0027456283569335938	0.0013773441314697266	0.0034880638122558607
correct	non_coding_transcript_exon_variant	True	115	0.00017925138058869734	0.00022125244140625	0.0020922045682829726	0.0021080970764160156	0.0011298656463623047	0.0036964893341064464
correct	splicing	False	2871	1.0640425617293753e-05	4.673004150390625e-05	0.00260326168050509	0.002754688262939453	0.0013875961303710938	0.0036067962646484375
correct	splicing	True	319	-0.0017783540917040786	-0.0009779930114746094	0.008185161622359986	0.006228327751159668	0.0028905868530273438	0.009527206420898434
correct	synonymous_variant	False	414	-9.472819342129473e-06	-7.855892181396484e-05	0.0020429801553228347	0.002683877944946289	0.0013718605041503906	0.0030653476715087886
correct	synonymous_variant	True	46	-0.0001283469407454781	-0.0001049041748046875	0.0041580882450406274	0.00392460823059082	0.002003908157348633	0.006985783576965332
correct	tss_proximal	False	1845	2.8384733329297404e-05	9.5367431640625e-06	0.001979406475825991	0.0025091171264648438	0.0012531280517578125	0.003281402587890627
correct	tss_proximal	True	205	-1.9761992663871952e-05	-2.4318695068359375e-05	0.0022296720595360096	0.002982616424560547	0.0015032291412353516	0.0035110473632812495
far_wrong	3_prime_UTR_variant	False	693	-4.778985165242337e-05	1.3589859008789062e-05	0.002046014639002632	0.0026290416717529297	0.001338958740234375	0.003502225875854494
far_wrong	3_prime_UTR_variant	True	77	0.0003798921386916916	0.0004563331604003906	0.0019526013740998292	0.002385377883911133	0.0012688636779785156	0.002867269515991211
far_wrong	5_prime_UTR_variant	False	1890	-1.0263919830322265e-05	-8.475780487060547e-05	0.0019939070484626545	0.0025951266288757324	0.0013060569763183594	0.003287911415100098
far_wrong	5_prime_UTR_variant	True	210	-0.0003015461422148205	-0.00013709068298339844	0.00231635356606494	0.002684295177459717	0.0014487504959106445	0.004016494750976563
far_wrong	distal	False	522	-9.367749152055646e-06	-0.00014448165893554688	0.0018089577418923634	0.0022774338722229004	0.0011298656463623047	0.0030782461166381837
far_wrong	distal	True	58	0.00015264132927204002	0.0003247261047363281	0.0019595525089408303	0.0023458003997802734	0.0012364387512207031	0.0027672052383422856
far_wrong	missense_variant	False	5220	-4.3165341190908145e-05	-3.9458274841308594e-05	0.002096449064364225	0.0027220845222473145	0.0013631582260131836	0.0033655405044555665
far_wrong	missense_variant	True	580	-0.0004270760149791323	-0.00047981739044189453	0.0026098171126159504	0.003163933753967285	0.0015817880630493164	0.004344844818115237
far_wrong	non_coding_transcript_exon_variant	False	1035	2.5931418229992264e-05	-2.1457672119140625e-06	0.0019862333071906106	0.0026384592056274414	0.0013265609741210938	0.003240346908569336
far_wrong	non_coding_transcript_exon_variant	True	115	0.0002080233200736668	0.0002913475036621094	0.0019870940153787655	0.002211332321166992	0.0011510848999023438	0.0032229900360107424
far_wrong	splicing	False	2871	5.829430797381586e-05	9.799003601074219e-05	0.002152216388987155	0.002737283706665039	0.001361846923828125	0.0034444332122802734
far_wrong	splicing	True	319	-0.0008469719124438247	-0.0005738735198974609	0.005114428171609191	0.0036077499389648438	0.001973390579223633	0.00505213737487793
far_wrong	synonymous_variant	False	414	-5.422899688499561e-05	-3.981590270996094e-05	0.001930215699669077	0.0026178359985351562	0.0012913942337036133	0.0030360698699951174
far_wrong	synonymous_variant	True	46	-0.0002813183743020763	2.6941299438476562e-05	0.0027551615993293382	0.0033488869667053223	0.0013290643692016602	0.004186511039733887
far_wrong	tss_proximal	False	1845	4.330708728573187e-05	1.7404556274414062e-05	0.0020096547554982877	0.002675294876098633	0.0013332366943359375	0.0032950401306152347
far_wrong	tss_proximal	True	205	-0.00015394164294731325	-1.6927719116210938e-05	0.001985650536359657	0.002686738967895508	0.0013585090637207031	0.0034139633178710935
