approach	n_variants	n_groups	macro_auprc	macro_ci_low	macro_ci_high	mean_score_positive	mean_score_negative	mean_score_separation
untagged	16100	1610	0.35819994798250787	0.3388223206378376	0.3876806044348185	0.01591863250880508	0.002443932411257689	0.013474700097547391
correct	16100	1610	0.35518207876939945	0.33317982835373383	0.38552947235645135	0.015306596615299674	0.0024065271009651853	0.012900069514334488
far_wrong	16100	1610	0.358748012019477	0.33721370950358126	0.3881316108939063	0.015568518268395655	0.0024417876580240315	0.013126730610371623
