condition	subset	n_groups	n_positive	n_negative	mean_delta_positive	mean_delta_negative	label_separation_shift	label_separation_ci_low	label_separation_ci_high	std_delta_positive	std_delta_negative	std_ratio_positive_negative	log2_std_ratio_positive_negative	log2_std_ratio_ci_low	log2_std_ratio_ci_high	low_sample
correct	_all_development_	1614	1614	14526	-0.0006087417200743192	-3.826257308685269e-05	-0.0005704791469874665	-0.0008136374621241607	-0.0003274403716617423	0.005035484180667228	0.0022999065223065314	2.1894299319683825	1.1305552801540004	0.8191639295519157	1.4133737755583498	False
correct	3_prime_UTR_variant	77	77	693	0.0007103170667375837	-3.18373092497238e-05	0.0007421543759873074	-0.0004797602972771009	0.0025058131455343	0.0069734589578175086	0.0022152458163484452	3.1479391164418855	1.6544076382860697	0.11889540628537068	2.4338952324872216	False
correct	5_prime_UTR_variant	210	210	1890	-1.1056945437476748e-05	-1.9948570816605178e-05	8.89162537912843e-06	-0.0004922334778876532	0.0006630401746936575	0.0042928727443714105	0.0020387709059485172	2.1056180132088924	1.0742437362526518	0.3539522832859651	1.6402011780138066	False
correct	distal	58	58	522	5.9949940648572195e-05	-8.089240940137841e-05	0.0001408423500499506	-0.00045298504075784793	0.0006600949099694173	0.002102846230834616	0.001976084837624911	1.0641477485157274	0.08969847156535823	-0.19091297721560085	0.3167424999032203	False
correct	mature_miRNA_variant	4	4	36	0.0007171630859375	-0.0003833108478122287	0.0011004739337497288	-0.0021397736337449816	0.0031804442405700684	0.0027069517770179265	0.0019922287241002047	1.3587555205241448	0.4422858968287592	-5.777309047850357	0.5984158730655366	True
correct	missense_variant	580	580	5220	-0.0008355019421413027	-0.00010576371488900021	-0.0007297382272523024	-0.0010400987139606841	-0.000418133623755298	0.0038585514323698786	0.0024087134050520148	1.6019138782874651	0.6797965880041725	0.4193450070656846	0.9722745483969721	False
correct	non_coding_transcript_exon_variant	115	115	1035	0.00017925138058869734	3.196018329565076e-05	0.0001472911972930466	-0.0002594491594655502	0.0005283549096849226	0.0020922045682829726	0.0021277189056127855	0.9833087269017875	-0.024283647962881547	-0.27341877372611734	0.1652209635271215	False
correct	splicing	319	319	2871	-0.0017783540917040786	1.0640425617293753e-05	-0.0017889945173213723	-0.0027320399820721553	-0.0008324945418833027	0.008185161622359986	0.00260326168050509	3.144194716826118	1.652690565020433	1.1219829152504472	2.0761668086937974	False
correct	synonymous_variant	46	46	414	-0.0001283469407454781	-9.472819342129473e-06	-0.00011887412140334862	-0.0012899961592494579	0.0010588399166070316	0.0041580882450406274	0.0020429801553228347	2.035305254535652	1.0252451857339868	0.5901312796000102	1.342712597111074	False
correct	tss_proximal	205	205	1845	-1.9761992663871952e-05	2.8384733329297404e-05	-4.814672599316936e-05	-0.00035437097071309076	0.00025078878008576264	0.0022296720595360096	0.001979406475825991	1.1264346594630519	0.17176363030427266	-0.044432941885130826	0.3733016672361904	False
far_wrong	_all_development_	1614	1614	14526	-0.0003463807971651817	-2.123533440213976e-06	-0.00034425726372496775	-0.0004922458868918465	-0.00018178185484723816	0.003118293009342193	0.002060252555000174	1.5135489101926776	0.5979352964751735	0.2996332188872751	0.8981940916452879	False
far_wrong	3_prime_UTR_variant	77	77	693	0.0003798921386916916	-4.778985165242337e-05	0.00042768199034411494	-8.155141041908429e-06	0.0008790952216667187	0.0019526013740998292	0.002046014639002632	0.9543437944567499	-0.06741901606867103	-0.3425723781081263	0.16487766694325387	False
far_wrong	5_prime_UTR_variant	210	210	1890	-0.0003015461422148205	-1.0263919830322265e-05	-0.00029128222238449826	-0.0006005563543587135	1.1763705147637235e-05	0.00231635356606494	0.0019939070484626545	1.1617159224402656	0.2162573257201639	0.03926602048250432	0.3727153432612263	False
far_wrong	distal	58	58	522	0.00015264132927204002	-9.367749152055646e-06	0.00016200907842409565	-0.0003017686164698838	0.0006130919888101774	0.0019595525089408303	0.0018089577418923634	1.0832494665635077	0.11536552616771246	-0.27176212908754227	0.3579891437855806	False
far_wrong	mature_miRNA_variant	4	4	36	0.0011563301086425781	6.4174334208170576e-06	0.001149912675221761	-8.791685104370117e-05	0.002158787515428331	0.0013255410183543811	0.002494020557946322	0.5314876070812686	-0.9118920426622009	-3.7212359453862858	0.09277992402947607	True
far_wrong	missense_variant	580	580	5220	-0.0004270760149791323	-4.3165341190908145e-05	-0.0003839106737882241	-0.000617940731318061	-0.00015262465024816583	0.0026098171126159504	0.002096449064364225	1.244875039884363	0.31600093234393967	0.19212803036593196	0.44422633654857885	False
far_wrong	non_coding_transcript_exon_variant	115	115	1035	0.0002080233200736668	2.5931418229992264e-05	0.00018209190184367453	-0.00017211979426047654	0.0005451142039275973	0.0019870940153787655	0.0019862333071906106	1.0004333369020844	0.0006250375835249474	-0.23302268440916246	0.20665135604261947	False
far_wrong	splicing	319	319	2871	-0.0008469719124438247	5.829430797381586e-05	-0.0009052662204176406	-0.0014713668861649919	-0.00037208812285989345	0.005114428171609191	0.0021522163889871556	2.3763540681966777	1.2487498085187239	0.5248644220711256	1.7234127631742295	False
far_wrong	synonymous_variant	46	46	414	-0.0002813183743020763	-5.422899688499561e-05	-0.00022708937741708067	-0.0010314274669269434	0.0006250537392021951	0.0027551615993293382	0.0019302156996690767	1.4273853434109427	0.5133748638817589	-0.05737830689529399	0.9138910759444041	False
far_wrong	tss_proximal	205	205	1845	-0.00015394164294731325	4.330708728573187e-05	-0.0001972487302330451	-0.00047585410800406603	0.00010855004070250968	0.001985650536359657	0.0020096547554982877	0.9880555507989834	-0.017335939100426773	-0.16798297401084297	0.1179977138684461	False
