dataset,condition,auprc,se
mendelian_traits,centered_full,0.11513526533532459,0.006655999645767721
mendelian_traits,left_context_ablated,0.10647932219388623,0.004835335884681973
mendelian_traits,right_context_ablated,0.1101433334949139,0.0054540114508246
mendelian_traits,window_shift_upstream_64,0.11747325665338319,0.006826211694630135
mendelian_traits,window_shift_downstream_64,0.11091752623633236,0.005721229032082965
complex_traits,centered_full,0.10030348382178172,0.0030867397060861507
complex_traits,left_context_ablated,0.10058261666308016,0.002636825792372777
complex_traits,right_context_ablated,0.10194108735717564,0.0029820310345423217
complex_traits,window_shift_upstream_64,0.10115408404668613,0.0032019467652661207
complex_traits,window_shift_downstream_64,0.10200991419814935,0.003201804813305851
sge,centered_full,0.14266476601746939,0.004763964731724357
sge,left_context_ablated,0.14215234107779698,0.004963663519156786
sge,right_context_ablated,0.1384316164860116,0.004328799654562579
sge,window_shift_upstream_64,0.13970833627169427,0.00444045526498091
sge,window_shift_downstream_64,0.1427529428687194,0.004681066322173831
