dataset,spearman_fwd_vs_rc,pearson_fwd_vs_rc,n_rows
mendelian_traits,0.9633380212416052,0.9687195133302579,16140
complex_traits,0.9093209116489085,0.945056899864792,11630
sge,0.9549845840585794,0.9632378810827781,23853
