dataset,transferred_fwd,transferred_fwd_rc,source_fwd_rc,fwd_minus_own_fwd_rc,fwd_minus_source_fwd_rc,within_one_point_of_own_fwd_rc,source_gate_passed,supported
complex_traits,0.10030348382178172,0.09959397836731329,0.1342031163265465,0.0007095054544684343,-0.03389963250476477,True,False,False
mendelian_traits,0.11513526533532459,0.115237088592146,0.39509877475347566,-0.00010182325682141224,-0.27996350941815107,True,False,False
sge,0.14266476601746939,0.14290296998505989,0.3577038098689789,-0.0002382039675905001,-0.2150390438515095,True,False,False
