alignment_name	scientific_name	assembly	taxonomy_id	family	clade	phylogenetic_rank	backend	selection_priority	assembly_level	contig_n50	selected	selection_reason
takFla1	Takifugu flavidus	Takifugu_flavidus_v1/takFla1	433684	Tetraodontidae	ray-finned_fish	6	ucsc_multiz100way	5	unknown	0	false	excluded_lower_ranked_than:fr3
tetNig2	Tetraodon nigroviridis	Genoscope_8.0/tetNig2	99883	Tetraodontidae	ray-finned_fish	6	ucsc_multiz100way	5	unknown	0	false	excluded_lower_ranked_than:fr3
geoFor1	Geospiza fortis	GeoFor_1.0/geoFor1	48883	Thraupidae	birds	2	ucsc_multiz100way	10	unknown	0	true	selected_best_pinned_assembly_in_family
apaSpi1	Apalone spinifera	ASM38561v1/apaSpi1	55534	Trionychidae	reptiles	3	ucsc_multiz100way	5	unknown	0	false	excluded_lower_ranked_than:pelSin1
pelSin1	Pelodiscus sinensis	PelSin_1.0/pelSin1	13735	Trionychidae	reptiles	3	ucsc_multiz100way	10	unknown	0	true	selected_best_pinned_assembly_in_family
Ailurus_fulgens	Ailurus fulgens	GCA_002007465.1	9649	Ailuridae	mammals	1	zoonomia_cactus	10	Scaffold	99577	true	selected_best_pinned_assembly_in_family
Antilocapra_americana	Antilocapra americana	GCA_004027515.1	9891	Antilocapridae	mammals	1	zoonomia_cactus	10	Scaffold	10625239	true	selected_best_pinned_assembly_in_family
Aotus_nancymaae	Aotus nancymaae	GCA_000952055.2	37293	Aotidae	mammals	1	zoonomia_cactus	10	Scaffold	126456	true	selected_best_pinned_assembly_in_family
Aplodontia_rufa	Aplodontia rufa	GCA_004027875.1	51342	Aplodontiidae	mammals	1	zoonomia_cactus	10	Scaffold	33245	true	selected_best_pinned_assembly_in_family
Ateles_geoffroyi_a	Ateles geoffroyi	GCA_004024785.1	9509	Atelidae	mammals	1	zoonomia_cactus	10	Scaffold	59033	true	selected_best_pinned_assembly_in_family
Eubalaena_japonica	Eubalaena japonica	GCA_004363455.1	302098	Balaenidae	mammals	1	zoonomia_cactus	10	Scaffold	34866	true	selected_best_pinned_assembly_in_family
Balaenoptera_acutorostrata	Balaenoptera acutorostrata	GCF_000493695.1	9767	Balaenopteridae	mammals	1	zoonomia_cactus	10	Scaffold	22690	true	selected_best_pinned_assembly_in_family
Heterocephalus_glaber	Heterocephalus glaber	GCF_000247695.1	10181	Bathyergidae	mammals	1	zoonomia_cactus	10	Scaffold	47778	true	selected_best_pinned_assembly_in_family
Bos_taurus	Bos taurus	GCF_000003205.7	9913	Bovidae	mammals	1	zoonomia_cactus	10	Chromosome	276285	true	selected_best_pinned_assembly_in_family
Vicugna_pacos	Vicugna pacos	GCA_000767525.1	30538	Camelidae	mammals	1	zoonomia_cactus	10	Scaffold	213649	true	selected_best_pinned_assembly_in_family
Lycaon_pictus	Lycaon pictus	GCA_001887905.1	9622	Canidae	mammals	1	zoonomia_cactus	10	Chromosome	5555	true	selected_best_pinned_assembly_in_family
Capromys_pilorides	Capromys pilorides	GCA_004027915.1	34842	Capromyidae	mammals	1	zoonomia_cactus	10	Scaffold	4080	true	selected_best_pinned_assembly_in_family
Castor_canadensis	Castor canadensis	GCA_004027675.1	51338	Castoridae	mammals	1	zoonomia_cactus	10	Scaffold	49369	true	selected_best_pinned_assembly_in_family
Cavia_porcellus	Cavia porcellus	GCF_000151735.1	10141	Caviidae	mammals	1	zoonomia_cactus	10	Scaffold	80583	true	selected_best_pinned_assembly_in_family
Callithrix_jacchus	Callithrix jacchus	GCA_002754865.1	9483	Cebidae	mammals	1	zoonomia_cactus	10	Scaffold	155284	true	selected_best_pinned_assembly_in_family
Papio_anubis	Papio anubis	GCA_000264685.2	9555	Cercopithecidae	mammals	1	zoonomia_cactus	10	Chromosome	149817	true	selected_best_pinned_assembly_in_family
Odocoileus_virginianus	Odocoileus virginianus	GCA_002102435.1	9874	Cervidae	mammals	1	zoonomia_cactus	10	Scaffold	122019	true	selected_best_pinned_assembly_in_family
Microcebus_murinus	Microcebus murinus	GCA_000165445.3	30608	Cheirogaleidae	mammals	1	zoonomia_cactus	10	Chromosome	210702	true	selected_best_pinned_assembly_in_family
Chinchilla_lanigera	Chinchilla lanigera	GCF_000276665.1	34839	Chinchillidae	mammals	1	zoonomia_cactus	10	Scaffold	61105	true	selected_best_pinned_assembly_in_family
Tolypeutes_matacus	Tolypeutes matacus	GCA_004025125.1	183749	Chlamyphoridae	mammals	1	zoonomia_cactus	10	Scaffold	9441	true	selected_best_pinned_assembly_in_family
Chrysochloris_asiatica	Chrysochloris asiatica	GCA_004027935.1	185453	Chrysochloridae	mammals	1	zoonomia_cactus	10	Scaffold	6444	true	selected_best_pinned_assembly_in_family
Craseonycteris_thonglongyai	Craseonycteris thonglongyai	GCA_004027555.1	208972	Craseonycteridae	mammals	1	zoonomia_cactus	10	Scaffold	23218	true	selected_best_pinned_assembly_in_family
Microtus_ochrogaster	Microtus ochrogaster	GCF_000317375.1	79684	Cricetidae	mammals	1	zoonomia_cactus	10	Chromosome	21250	true	selected_best_pinned_assembly_in_family
Ctenodactylus_gundi	Ctenodactylus gundi	GCA_004027205.1	10166	Ctenodactylidae	mammals	1	zoonomia_cactus	10	Scaffold	218543	true	selected_best_pinned_assembly_in_family
Ctenomys_sociabilis	Ctenomys sociabilis	GCA_004027165.1	43321	Ctenomyidae	mammals	1	zoonomia_cactus	10	Scaffold	37562	true	selected_best_pinned_assembly_in_family
Cuniculus_paca	Cuniculus paca	GCA_004365215.1	108852	Cuniculidae	mammals	1	zoonomia_cactus	10	Scaffold	3890	true	selected_best_pinned_assembly_in_family
Galeopterus_variegatus	Galeopterus variegatus	GCA_004027255.1	482537	Cynocephalidae	mammals	1	zoonomia_cactus	10	Scaffold	20753	true	selected_best_pinned_assembly_in_family
Dasypus_novemcinctus	Dasypus novemcinctus	GCF_000208655.1	9361	Dasypodidae	mammals	1	zoonomia_cactus	10	Chromosome	13963394	true	selected_best_pinned_assembly_in_family
Dasyprocta_punctata	Dasyprocta punctata	GCA_004363535.1	34846	Dasyproctidae	mammals	1	zoonomia_cactus	10	Scaffold	38650	true	selected_best_pinned_assembly_in_family
Daubentonia_madagascariensis	Daubentonia madagascariensis	GCA_004027145.1	31869	Daubentoniidae	mammals	1	zoonomia_cactus	10	Scaffold	298834	true	selected_best_pinned_assembly_in_family
Orcinus_orca	Orcinus orca	GCF_000331955.2	9733	Delphinidae	mammals	1	zoonomia_cactus	10	Scaffold	70300	true	selected_best_pinned_assembly_in_family
Dinomys_branickii	Dinomys branickii	GCA_004027595.1	108858	Dinomyidae	mammals	1	zoonomia_cactus	10	Scaffold	64805	true	selected_best_pinned_assembly_in_family
Allactaga_bullata	Orientallactaga bullata	GCA_004027895.1	1041416	Dipodidae	mammals	1	zoonomia_cactus	10	Scaffold	30651	true	selected_best_pinned_assembly_in_family
Loxodonta_africana	Loxodonta africana	GCF_030014295.1	9785	Elephantidae	mammals	1	zoonomia_cactus	10	Chromosome	82653632	true	selected_best_pinned_assembly_in_family
Equus_caballus	Equus caballus	GCF_000002305.2	9796	Equidae	mammals	1	zoonomia_cactus	10	Chromosome	112381	true	selected_best_pinned_assembly_in_family
Erinaceus_europaeus	Erinaceus europaeus	GCF_000296755.1	9365	Erinaceidae	mammals	1	zoonomia_cactus	10	Scaffold	21359	true	selected_best_pinned_assembly_in_family
Eschrichtius_robustus	Eschrichtius robustus	GCA_004363415.1	9764	Eschrichtiidae	mammals	1	zoonomia_cactus	10	Scaffold	68559	true	selected_best_pinned_assembly_in_family
Cryptoprocta_ferox	Cryptoprocta ferox	GCA_004023885.1	94188	Eupleridae	mammals	1	zoonomia_cactus	10	Scaffold	128639	true	selected_best_pinned_assembly_in_family
Panthera_onca	Panthera onca	GCA_004023805.1	9690	Felidae	mammals	1	zoonomia_cactus	10	Scaffold	62836	true	selected_best_pinned_assembly_in_family
Otolemur_garnettii	Otolemur garnettii	GCF_000181295.1	30611	Galagidae	mammals	1	zoonomia_cactus	10	Scaffold	27100	true	selected_best_pinned_assembly_in_family
Giraffa_tippelskirchi	Giraffa tippelskirchi	GCA_001651235.1	439328	Giraffidae	mammals	1	zoonomia_cactus	10	Scaffold	47894	true	selected_best_pinned_assembly_in_family
Muscardinus_avellanarius	Muscardinus avellanarius	GCA_004027005.1	39082	Gliridae	mammals	1	zoonomia_cactus	10	Scaffold	44294	true	selected_best_pinned_assembly_in_family
Mungos_mungo	Mungos mungo	GCA_004023785.1	210652	Herpestidae	mammals	1	zoonomia_cactus	10	Scaffold	180702	true	selected_best_pinned_assembly_in_family
Dipodomys_ordii	Dipodomys ordii	GCF_000151885.1	10020	Heteromyidae	mammals	1	zoonomia_cactus	10	Scaffold	48087	true	selected_best_pinned_assembly_in_family
Hippopotamus_amphibius	Hippopotamus amphibius	GCA_004027065.1	9833	Hippopotamidae	mammals	1	zoonomia_cactus	10	Chromosome	50348260	true	selected_best_pinned_assembly_in_family
Hipposideros_armiger	Hipposideros armiger	GCA_001890085.1	186990	Hipposideridae	mammals	1	zoonomia_cactus	10	Scaffold	39863	true	selected_best_pinned_assembly_in_family
Hyaena_hyaena	Hyaena hyaena	GCA_004023945.1	95912	Hyaenidae	mammals	1	zoonomia_cactus	10	Scaffold	51677	true	selected_best_pinned_assembly_in_family
Hydrochoerus_hydrochaeris	Hydrochoerus hydrochaeris	GCA_004027455.1	10149	Hydrochaeridae	mammals	1	zoonomia_cactus	10	Scaffold	148451	true	selected_best_pinned_assembly_in_family
Symphalangus_syndactylus	Symphalangus syndactylus	GCF_028878055.3	9590	Hylobatidae	mammals	1	zoonomia_cactus	10	Chromosome	146713733	true	selected_best_pinned_assembly_in_family
Hystrix_cristata	Hystrix cristata	GCA_004026905.1	10137	Hystricidae	mammals	1	zoonomia_cactus	10	Scaffold	57102	true	selected_best_pinned_assembly_in_family
Indri_indri	Indri indri	GCA_004363605.1	34827	Indriidae	mammals	1	zoonomia_cactus	10	Scaffold	26447	true	selected_best_pinned_assembly_in_family
Inia_geoffrensis	Inia geoffrensis	GCA_004363515.1	9725	Iniidae	mammals	1	zoonomia_cactus	10	Scaffold	24570	true	selected_best_pinned_assembly_in_family
Lemur_catta	Lemur catta	GCA_004024665.1	9447	Lemuridae	mammals	1	zoonomia_cactus	10	Scaffold	158439	true	selected_best_pinned_assembly_in_family
Lepilemur_ruficaudatus	Lepilemur ruficaudatus	GCA_963574885.1	78866	Lepilemuridae	mammals	1	zoonomia_cactus	10	Scaffold	41219	true	selected_best_pinned_assembly_in_family
Oryctolagus_cuniculus	Oryctolagus cuniculus	GCF_000003625.3	9986	Leporidae	mammals	1	zoonomia_cactus	10	Chromosome	64648	true	selected_best_pinned_assembly_in_family
Lipotes_vexillifer	Lipotes vexillifer	GCF_000442215.1	118797	Lipotidae	mammals	1	zoonomia_cactus	10	Scaffold	32029	true	selected_best_pinned_assembly_in_family
Nycticebus_coucang	Nycticebus coucang	GCA_004027815.1	9470	Lorisidae	mammals	1	zoonomia_cactus	10	Scaffold	17693	true	selected_best_pinned_assembly_in_family
Elephantulus_edwardii	Elephantulus edwardii	GCA_004027355.1	28737	Macroscelididae	mammals	1	zoonomia_cactus	10	Scaffold	16488	true	selected_best_pinned_assembly_in_family
Manis_javanica	Manis javanica	GCF_001685135.1	9974	Manidae	mammals	1	zoonomia_cactus	10	Scaffold	38922	true	selected_best_pinned_assembly_in_family
Megaderma_lyra	Lyroderma lyra	GCA_004026885.1	3371112	Megadermatidae	mammals	1	zoonomia_cactus	10	Scaffold	71674	true	selected_best_pinned_assembly_in_family
Choloepus_hoffmanni	Choloepus hoffmanni	GCA_000164785.2	9358	Megalonychidae	mammals	1	zoonomia_cactus	10	Scaffold	64490	true	selected_best_pinned_assembly_in_family
Spilogale_gracilis	Spilogale gracilis	GCA_004023965.1	30551	Mephitidae	mammals	1	zoonomia_cactus	10	Scaffold	63054	true	selected_best_pinned_assembly_in_family
Miniopterus_schreibersii	Miniopterus schreibersii	GCA_004026525.1	9433	Miniopteridae	mammals	1	zoonomia_cactus	10	Scaffold	82539	true	selected_best_pinned_assembly_in_family
Tadarida_brasiliensis	Tadarida brasiliensis	GCA_004025005.1	9438	Molossidae	mammals	1	zoonomia_cactus	10	Scaffold	22617	true	selected_best_pinned_assembly_in_family
Monodon_monoceros	Monodon monoceros	GCA_004026685.1	40151	Monodontidae	mammals	1	zoonomia_cactus	10	Scaffold	67024	true	selected_best_pinned_assembly_in_family
Mormoops_blainvillei	Mormoops blainvillei	GCA_004026545.1	118852	Mormoopidae	mammals	1	zoonomia_cactus	10	Scaffold	142682	true	selected_best_pinned_assembly_in_family
