alignment_name	source_url	checksum_source_url	byte_size	md5
allMis1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToAllMis1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	19985179	75986b170ce16b3712b19c683dac4fbc
anaPla1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToAnaPla1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	10297017	4b630f8aaf217a1bf456fb4067867c76
anoCar2	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToAnoCar2.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	8788108	4339544baa4d1b543616b57c57c74005
araMac1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToAraMac1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	10857393	4b7011058bb10a72a67521729d718f78
astMex1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToAstMex1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	6134367	b8a9a5a577638c7c66114e4ef7f1c8e2
cheMyd1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToCheMyd1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	15819809	de5f2a6004a72569177eb0603cf8a35d
chrPic2	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToChrPic2.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	16817967	908c6f17bfe3a6742c25da7f30ea1553
colLiv1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToColLiv1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	11554576	ca2fcff119af52cf57d0ddd49b82f473
danRer10	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToDanRer10.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	9613205	6ba7f1a6b5651a881a98c1c6056179b5
falChe1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToFalChe1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	11747014	fae304f8897fed8f96b99d4673cf9b5e
ficAlb2	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToFicAlb2.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	11847206	bd7391770e3578e274fed8f434bc64df
fr3	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToFr3.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	4577088	ac26818c475930f0da96068e6fc2847d
gadMor1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToGadMor1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	5033692	860bd237f0b60995cc90d32840159742
galGal4	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToGalGal4.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	11349148	942ded2720105a736367c47ae907ece8
gasAcu1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToGasAcu1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	5494430	9e9cc92109452d63c232a67a570b5960
geoFor1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToGeoFor1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	10968304	9bcae1caf65919f51c75594757426d14
latCha1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToLatCha1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	7497878	f5fb0cb479c167ff01affd1542a2b190
lepOcu1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToLepOcu1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	6348623	33b0a335e8382a1bd9ec3e5c36612dc8
melUnd1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToMelUnd1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	10906096	6e5f8617329446d62a564a3e01a27384
oreNil2	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToOreNil2.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	4791714	3a8b07f5a0ce511d93fb0b464267b9f4
oryLat2	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToOryLat2.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	5244493	cc35e0f023b82f726e42d691f50dedb0
pelSin1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToPelSin1.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/md5sum.txt	14324929	4740ba29e5f26f37a026d7c45b50ab1d
