step,component,n_rows,selected_tokens,loss_weight_sum,weight_fraction,legacy_count_normalized_ce,sequence_balanced_ce,marin_token_weighted_ce,marin_z_loss,marin_loss
0,pooled,640,163200,49844.009765625,0.30541672650505514,0.23138026218788296,0.9014933288097382,0.7575887045729738,3.233863634876745e-05,0.7576210432093226
0,cds,128,32640,12180.659851074219,0.37318198073144054,0.244692372340782,0.7817210480570793,0.6556918205460576,4.754119873815595e-05,0.6557393617447957
0,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16237312017702588,1.0687744468450546,0.8896082242434932,2.292456101837043e-05,0.8896311488045116
0,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12001560155083152,1.0192831009626389,0.7486010268380138,2.5159453371112642e-05,0.7486261862913848
0,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3741073122211531,0.9879307001829147,0.9163124894262092,1.8615784103836097e-05,0.916331105210313
0,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2557129074545468,0.64975730702281,0.6348621799669991,3.9286799700231155e-05,0.6349014667666993
25,pooled,640,163200,49844.009765625,0.30541672650505514,0.23124014162549786,0.9010041236877442,0.7571299197382709,3.2792225256845424e-05,0.7571627119635278
25,cds,128,32640,12180.659851074219,0.37318198073144054,0.24441512051750633,0.781033881008625,0.6549488805393288,4.8185017434585426e-05,0.6549970655567633
25,upstream,128,32640,5957.519836425781,0.18252205381206438,0.1622425584232106,1.0681559145450592,0.8888929038146001,2.3199299950440356e-05,0.8889161031145505
25,downstream,128,32640,5232.839782714844,0.16031984628415574,0.11992907804601333,1.0188132002949715,0.748061333800479,2.553785252674861e-05,0.7480868716530058
25,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3739308899524165,0.9875821098685265,0.9158803729639662,1.8907105373522727e-05,0.9158992800693397
25,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.25568307053809075,0.6494355350732803,0.6347881034175854,3.9839595407995235e-05,0.6348279430129934
50,pooled,640,163200,49844.009765625,0.30541672650505514,0.23111482059254365,0.9008134126663208,0.756719591743507,3.330304045429536e-05,0.7567528947839612
50,cds,128,32640,12180.659851074219,0.37318198073144054,0.24430693645103305,0.7808291912078857,0.6546589842633584,4.8647567147100744e-05,0.6547076318305055
50,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16226017054389505,1.0679966881871223,0.8889893969249756,2.3541838314882495e-05,0.8890129387632905
50,downstream,128,32640,5232.839782714844,0.16031984628415574,0.11990314932430492,1.0191405341029167,0.7478996025968297,2.5979545469498898e-05,0.7479255821422992
50,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3735563839183134,0.9868932440876961,0.9149630838728315,1.925702884349504e-05,0.9149823409016751
50,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.25554745805029777,0.6492074206471443,0.6344514163082485,4.066197957318128e-05,0.6344920782878217
100,pooled,640,163200,49844.009765625,0.30541672650505514,0.23094819760790058,0.9002120673656464,0.7561740322826688,3.4001663490049396e-05,0.7562080339461588
100,cds,128,32640,12180.659851074219,0.37318198073144054,0.24434176800297755,0.7811601608991623,0.6547523209027005,4.965810077326972e-05,0.6548019790034738
100,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16218040971194997,1.0671481266617775,0.8885524040779237,2.385296647427873e-05,0.888576257044398
100,downstream,128,32640,5232.839782714844,0.16031984628415574,0.11989033315695968,1.0182273760437965,0.747819661356601,2.619318349167361e-05,0.7478458545400927
100,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3734867769129136,0.9866894260048866,0.9147925933041744,1.956791523313809e-05,0.9148121612194074
100,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2548417091369629,0.647835236042738,0.6326992431462084,4.1833269437614924e-05,0.632741076415646
200,pooled,640,163200,49844.009765625,0.30541672650505514,0.23129600973690256,0.901287978887558,0.7573128439416832,3.298360711302869e-05,0.7573458275487962
200,cds,128,32640,12180.659851074219,0.37318198073144054,0.24481415281108782,0.7820331752300262,0.6560181505314098,4.8025032071014927e-05,0.6560661755634808
200,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16258312861124674,1.0692585036158562,0.8907588163491303,2.3261020285813576e-05,0.8907820773694162
200,downstream,128,32640,5232.839782714844,0.16031984628415574,0.1201316796097101,1.0197791010141373,0.7493250673206426,2.5741045997291557e-05,0.7493508083666399
200,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.37373080160103594,0.9868654236197472,0.9153902904411997,1.9114302630703748e-05,0.9154094047438304
200,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2552202879213819,0.6485037319362164,0.6336391462381485,4.039453897582204e-05,0.6336795407771244
300,pooled,640,163200,49844.009765625,0.30541672650505514,0.23186573701746324,0.9023110806941986,0.759178253498914,3.2970559032949575e-05,0.7592112240579469
300,cds,128,32640,12180.659851074219,0.37318198073144054,0.24484358768837125,0.7818386182188988,0.6560970259294816,4.788957586465805e-05,0.6561449155053463
300,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16254796233831667,1.0679902359843254,0.8905661477252813,2.312719753289454e-05,0.8905892749228143
300,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12025299259260588,1.0205258876085281,0.7500817608037488,2.5900696446210224e-05,0.750107661500195
300,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3750434875488281,0.9895411804318428,0.9186054923080512,1.913850539267575e-05,0.9186246308134439
300,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2566406474393957,0.6516594924032688,0.6371654936130982,4.0443137001650285e-05,0.6372059367500998
