readout,n_targets,nucleotide_ce,nucleotide_accuracy,full_vocab_ce,full_vocab_accuracy
source_causal_standard,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
source_causal_additive,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
source_localized_predictor_row,640,1.2071856021881104,0.4484375,1.2071878910064697,0.4484375
source_full_standard,640,1.4246315002441405,0.2703125,1.4248031616210937,0.2703125
