region,group,chromosome_code,n_positions
cds,high_to_high,1,131407
cds,high_to_high,2,104176
cds,high_to_high,3,75048
cds,high_to_high,4,53765
cds,high_to_high,5,60476
cds,high_to_high,6,67323
cds,high_to_high,7,65525
cds,high_to_high,8,47617
cds,high_to_high,9,60111
cds,high_to_high,10,53055
cds,high_to_high,11,70312
cds,high_to_high,12,72856
cds,high_to_high,13,24772
cds,high_to_high,14,41771
cds,high_to_high,15,44724
cds,high_to_high,16,53311
cds,high_to_high,17,78001
cds,high_to_high,18,20377
cds,high_to_high,19,72316
cds,high_to_high,20,31471
cds,high_to_high,21,13913
cds,high_to_high,22,22613
cds,high_to_high,23,52034
cds,high_to_high,24,2803
cds,high_to_high,25,0
cds,low_to_high,1,43308
cds,low_to_high,2,33964
cds,low_to_high,3,24723
cds,low_to_high,4,17807
cds,low_to_high,5,20406
cds,low_to_high,6,22141
cds,low_to_high,7,21588
cds,low_to_high,8,16161
cds,low_to_high,9,19832
cds,low_to_high,10,17657
cds,low_to_high,11,23396
cds,low_to_high,12,24240
cds,low_to_high,13,8515
cds,low_to_high,14,13712
cds,low_to_high,15,14726
cds,low_to_high,16,17110
cds,low_to_high,17,25618
cds,low_to_high,18,6777
cds,low_to_high,19,23933
cds,low_to_high,20,10375
cds,low_to_high,21,4603
cds,low_to_high,22,7607
cds,low_to_high,23,16727
cds,low_to_high,24,940
cds,low_to_high,25,0
cds,high_to_low,1,25821
cds,high_to_low,2,20174
cds,high_to_low,3,15083
cds,high_to_low,4,11623
cds,high_to_low,5,13300
cds,high_to_low,6,11816
cds,high_to_low,7,11856
cds,high_to_low,8,9955
cds,high_to_low,9,11114
cds,high_to_low,10,10236
cds,high_to_low,11,14661
cds,high_to_low,12,14116
cds,high_to_low,13,4978
cds,high_to_low,14,8366
cds,high_to_low,15,8013
cds,high_to_low,16,9403
cds,high_to_low,17,15502
cds,high_to_low,18,4134
cds,high_to_low,19,11693
cds,high_to_low,20,6475
cds,high_to_low,21,2735
cds,high_to_low,22,4509
cds,high_to_low,23,9403
cds,high_to_low,24,431
cds,high_to_low,25,0
cds,low_to_low,1,81720
cds,low_to_low,2,58256
cds,low_to_low,3,41885
cds,low_to_low,4,28084
cds,low_to_low,5,39547
cds,low_to_low,6,37649
cds,low_to_low,7,39061
cds,low_to_low,8,27513
cds,low_to_low,9,35881
cds,low_to_low,10,29772
cds,low_to_low,11,48848
cds,low_to_low,12,43114
cds,low_to_low,13,13385
cds,low_to_low,14,25758
cds,low_to_low,15,26568
cds,low_to_low,16,37988
cds,low_to_low,17,54236
cds,low_to_low,18,11303
cds,low_to_low,19,60448
cds,low_to_low,20,19038
cds,low_to_low,21,9890
cds,low_to_low,22,17986
cds,low_to_low,23,29496
cds,low_to_low,24,1914
cds,low_to_low,25,0
upstream,high_to_high,1,139149
upstream,high_to_high,2,93733
upstream,high_to_high,3,84932
upstream,high_to_high,4,57608
upstream,high_to_high,5,63747
upstream,high_to_high,6,73648
upstream,high_to_high,7,64101
upstream,high_to_high,8,51681
upstream,high_to_high,9,60311
upstream,high_to_high,10,57570
upstream,high_to_high,11,87020
upstream,high_to_high,12,70695
upstream,high_to_high,13,24358
upstream,high_to_high,14,45075
upstream,high_to_high,15,45369
upstream,high_to_high,16,57402
upstream,high_to_high,17,69385
upstream,high_to_high,18,24986
upstream,high_to_high,19,88588
upstream,high_to_high,20,37927
upstream,high_to_high,21,16675
upstream,high_to_high,22,31271
upstream,high_to_high,23,53005
upstream,high_to_high,24,4446
upstream,high_to_high,25,0
upstream,low_to_high,1,47465
upstream,low_to_high,2,32088
upstream,low_to_high,3,28847
upstream,low_to_high,4,19456
upstream,low_to_high,5,21368
upstream,low_to_high,6,24284
upstream,low_to_high,7,21833
upstream,low_to_high,8,18233
upstream,low_to_high,9,20945
upstream,low_to_high,10,19311
upstream,low_to_high,11,29788
upstream,low_to_high,12,23541
upstream,low_to_high,13,8387
upstream,low_to_high,14,14643
upstream,low_to_high,15,15278
upstream,low_to_high,16,20497
upstream,low_to_high,17,24540
upstream,low_to_high,18,8590
upstream,low_to_high,19,29097
upstream,low_to_high,20,13124
upstream,low_to_high,21,5803
upstream,low_to_high,22,10747
